episode_id,start,end,bars_4h,duration_hours,duration_days,max_drawdown_pct,avg_drawdown_pct,avg_run_len_4h,max_run_len_4h,avg_flip_count_30_4h,avg_near_ema_ratio_30_4h,avg_ema_below_pct
1,2022-03-04 12:00:00,2022-03-09 08:00:00,30,116.0,4.833333333333333,27.40648376408258,26.857052646431047,13.433333333333334,26.0,1.2333333333333334,3.3333333333333326,4.070330785953979
2,2022-03-09 16:00:00,2022-03-24 08:00:00,89,352.0,14.666666666666666,42.92737130401761,36.59538569086105,21.359550561797754,48.0,0.9887640449438202,0.0,1.2871821438424293
3,2022-03-31 16:00:00,2022-04-01 08:00:00,5,16.0,0.6666666666666666,28.50329368115142,25.503167913766507,94.0,96.0,0.0,0.0,0.0
4,2022-04-06 16:00:00,2022-04-08 16:00:00,13,48.0,2.0,25.5522280858636,23.845910320138273,24.846153846153847,129.0,0.8461538461538461,14.358974358974358,0.44841675236030637
5,2022-04-21 12:00:00,2022-04-21 16:00:00,2,4.0,0.16666666666666666,20.45738604782169,20.45738604782169,1.5,2.0,1.0,6.666666666666667,1.0715873679025034
6,2022-07-21 08:00:00,2022-07-21 08:00:00,1,0.0,0.0,20.091168520478643,20.091168520478643,15.0,15.0,3.0,6.666666666666667,0.0
7,2022-07-23 08:00:00,2022-07-23 16:00:00,3,8.0,0.3333333333333333,21.404938465720328,21.11585335537688,28.0,29.0,2.0,6.666666666666667,0.0
8,2022-07-24 00:00:00,2022-07-24 00:00:00,1,0.0,0.0,20.062017196156656,20.062017196156656,31.0,31.0,0.0,3.3333333333333335,0.0
9,2022-07-25 00:00:00,2022-07-25 16:00:00,5,16.0,0.6666666666666666,22.47340351803763,21.990097227499582,9.4,37.0,0.8,0.0,1.0228991103296594
10,2022-07-27 16:00:00,2022-07-29 08:00:00,11,40.0,1.6666666666666667,27.85148142619736,25.220242987228247,6.454545454545454,16.0,1.9090909090909092,0.0,0.0
11,2022-07-31 20:00:00,2022-08-03 04:00:00,15,56.0,2.3333333333333335,25.740655696578884,23.44938885429932,32.0,39.0,0.4,0.0,0.0
12,2022-08-03 12:00:00,2022-08-03 12:00:00,1,0.0,0.0,20.369416956192975,20.369416956192975,41.0,41.0,0.0,0.0,0.0
13,2022-08-03 20:00:00,2022-08-05 04:00:00,9,32.0,1.3333333333333333,30.098149557862612,25.284738687458844,47.0,51.0,0.0,2.592592592592593,0.04490274590089802
14,2022-08-05 12:00:00,2022-08-08 00:00:00,16,60.0,2.5,24.910350367028506,22.974178103886114,60.5,68.0,0.0,6.666666666666667,0.0
15,2022-08-09 08:00:00,2022-08-10 08:00:00,7,24.0,1.0,25.16304751171687,23.248669808746595,79.0,82.0,0.0,2.380952380952381,0.0
16,2022-08-11 20:00:00,2022-08-12 20:00:00,7,24.0,1.0,23.734094634024856,21.861096836919206,94.0,97.0,0.0,0.0,0.0
17,2022-08-13 08:00:00,2022-08-13 08:00:00,1,0.0,0.0,20.043606633377927,20.043606633377927,100.0,100.0,0.0,0.0,0.0
18,2022-08-13 16:00:00,2022-08-13 20:00:00,2,4.0,0.16666666666666666,20.40356708323886,20.208914557362977,102.5,103.0,0.0,0.0,0.0
19,2022-08-15 04:00:00,2022-08-17 00:00:00,12,44.0,1.8333333333333333,22.092793785365007,21.587938455987594,116.5,122.0,0.0,0.0,0.0
20,2022-08-17 12:00:00,2022-08-17 20:00:00,3,8.0,0.3333333333333333,21.451385407693316,20.827688654749505,126.0,127.0,0.0,3.3333333333333335,0.0
21,2022-08-18 04:00:00,2022-08-18 04:00:00,1,0.0,0.0,20.072253973791163,20.072253973791163,129.0,129.0,0.0,6.666666666666667,0.0
22,2022-08-18 16:00:00,2022-08-19 00:00:00,3,8.0,0.3333333333333333,25.710884960117887,22.912043626818512,133.0,134.0,0.0,12.222222222222223,0.7918348089284847
23,2022-12-15 20:00:00,2022-12-15 20:00:00,1,0.0,0.0,20.1500602920258,20.1500602920258,15.0,15.0,1.0,6.666666666666667,0.0
24,2022-12-16 08:00:00,2023-01-10 12:00:00,152,604.0,25.166666666666668,26.31560813722914,24.826825773737088,64.64473684210526,139.0,0.3618421052631579,14.013157894736842,1.690002527596629
25,2023-01-11 12:00:00,2023-01-11 12:00:00,1,0.0,0.0,20.661152185072986,20.661152185072986,18.0,18.0,1.0,40.0,0.0
26,2023-02-09 00:00:00,2023-02-09 00:00:00,1,0.0,0.0,21.753989090920463,21.753989090920463,189.0,189.0,0.0,0.0,0.0
27,2023-02-09 12:00:00,2023-02-15 12:00:00,37,144.0,6.0,32.587813682154014,30.42819278263485,133.32432432432432,215.0,0.5135135135135135,35.4054054054054,0.07597829564986812
28,2023-02-16 20:00:00,2023-02-17 08:00:00,4,12.0,0.5,24.76087366037096,22.97929050948629,15.5,17.0,2.0,22.5,0.0
29,2023-02-22 00:00:00,2023-02-22 20:00:00,6,20.0,0.8333333333333334,24.03194140712816,22.631887969762673,47.5,50.0,0.0,0.0,0.0
30,2023-02-23 08:00:00,2023-03-01 04:00:00,36,140.0,5.833333333333333,31.389120749113165,26.718878683838582,70.5,88.0,0.0,0.0,0.0
31,2023-03-01 12:00:00,2023-03-01 16:00:00,2,4.0,0.16666666666666666,21.85739961896272,20.959420383665233,90.5,91.0,0.0,0.0,0.0
32,2023-03-02 00:00:00,2023-03-21 04:00:00,116,460.0,19.166666666666668,46.13515748926607,29.684803099036543,31.43103448275862,99.0,1.0344827586206897,0.8620689655172413,2.6634821850615786
33,2023-03-22 16:00:00,2023-03-22 16:00:00,1,0.0,0.0,21.097464857791252,21.097464857791252,55.0,55.0,0.0,0.0,0.0
34,2023-04-20 16:00:00,2023-04-26 04:00:00,34,132.0,5.5,24.35190800758868,23.85648896953535,51.26470588235294,234.0,0.8823529411764706,14.705882352941174,1.7175211346048187
35,2023-04-26 16:00:00,2023-04-28 12:00:00,12,44.0,1.8333333333333333,23.327444704414024,21.411755769769446,5.083333333333333,10.0,2.75,0.0,0.05404653829095104
36,2023-04-29 16:00:00,2023-04-30 00:00:00,3,8.0,0.3333333333333333,20.49288086886137,20.226538750081424,18.0,19.0,3.0,0.0,0.0
37,2023-04-30 08:00:00,2023-04-30 08:00:00,1,0.0,0.0,20.358495483701905,20.358495483701905,21.0,21.0,3.0,0.0,0.0
38,2023-04-30 20:00:00,2023-05-05 08:00:00,28,108.0,4.5,28.911975410087994,25.070652057097227,10.857142857142858,28.0,1.9285714285714286,2.738095238095238,0.2172348412608848
39,2023-05-06 12:00:00,2023-06-20 12:00:00,271,1080.0,45.0,28.968376249662537,26.78379986093106,56.03690036900369,124.0,0.3763837638376384,4.489544895448954,2.587031279547258
40,2023-07-17 16:00:00,2023-07-17 16:00:00,1,0.0,0.0,20.952558906434422,20.952558906434422,167.0,167.0,0.0,0.0,0.0
41,2023-07-18 04:00:00,2023-07-18 20:00:00,5,16.0,0.6666666666666666,22.340305749302065,21.085247733658584,172.0,174.0,0.0,2.0,0.0
42,2023-07-19 12:00:00,2023-07-19 12:00:00,1,0.0,0.0,20.354259155772542,20.354259155772542,178.0,178.0,0.0,6.666666666666667,0.0
43,2023-07-19 20:00:00,2023-07-20 00:00:00,2,4.0,0.16666666666666666,20.73398234996052,20.55612103439843,180.5,181.0,0.0,6.666666666666667,0.0
44,2023-07-20 12:00:00,2023-07-23 12:00:00,19,72.0,3.0,22.029155592439196,21.17984243409501,193.0,202.0,0.0,35.96491228070175,0.0
45,2023-07-24 00:00:00,2023-10-23 08:00:00,549,2192.0,91.33333333333333,50.52728702832168,37.446848332236314,53.41712204007286,207.0,0.6557377049180327,16.82452944748027,2.169473020003924
46,2023-11-14 16:00:00,2023-11-14 16:00:00,1,0.0,0.0,20.378395719278004,20.378395719278004,178.0,178.0,0.0,0.0,0.0
47,2023-11-16 12:00:00,2023-11-16 20:00:00,3,8.0,0.3333333333333333,21.74366568450551,20.81476802618945,190.0,191.0,0.0,0.0,0.0
48,2024-01-12 20:00:00,2024-02-07 16:00:00,156,620.0,25.833333333333332,30.314922996435723,23.809361846401956,36.28846153846154,533.0,1.1538461538461537,11.559829059829061,1.7474927529201467
49,2024-03-16 20:00:00,2024-03-16 20:00:00,1,0.0,0.0,22.228329609763076,22.228329609763076,266.0,266.0,0.0,0.0,0.0
50,2024-03-17 04:00:00,2024-03-17 04:00:00,1,0.0,0.0,20.939897967290435,20.939897967290435,268.0,268.0,0.0,0.0,0.0
51,2024-03-19 08:00:00,2024-03-19 08:00:00,1,0.0,0.0,22.587955243903078,22.587955243903078,281.0,281.0,0.0,0.0,0.0
52,2024-03-19 20:00:00,2024-03-20 12:00:00,5,16.0,0.6666666666666666,27.695275864040553,24.01905747997315,286.0,288.0,0.0,6.000000000000001,0.1363193028501404
53,2024-03-22 08:00:00,2024-03-23 00:00:00,5,16.0,0.6666666666666666,23.112203674497145,21.973556405892168,301.0,303.0,0.0,6.666666666666667,0.0
54,2024-04-02 12:00:00,2024-04-02 20:00:00,3,8.0,0.3333333333333333,22.900665090892698,21.844717822530978,122.66666666666667,366.0,1.0,4.444444444444445,0.3905164775933015
55,2024-04-03 04:00:00,2024-04-04 04:00:00,7,24.0,1.0,22.34508740308649,21.02031773182665,6.0,9.0,2.0,11.904761904761907,0.0
56,2024-04-13 16:00:00,2024-05-20 12:00:00,222,884.0,36.833333333333336,33.13206591483995,27.551337631428535,26.12162162162162,66.0,0.8108108108108109,10.060060060060058,2.8315176115017455
57,2024-05-21 16:00:00,2024-05-21 16:00:00,1,0.0,0.0,20.408924573289774,20.408924573289774,37.0,37.0,0.0,0.0,0.0
58,2024-05-22 20:00:00,2024-05-22 20:00:00,1,0.0,0.0,20.754632844938477,20.754632844938477,44.0,44.0,0.0,0.0,0.0
59,2024-05-23 12:00:00,2024-05-25 04:00:00,11,40.0,1.6666666666666667,26.955207262764212,23.737374519715527,53.0,58.0,0.0,0.0,0.0
60,2024-05-28 00:00:00,2024-06-03 08:00:00,39,152.0,6.333333333333333,27.149318507320334,24.332192107116573,94.0,113.0,0.0,0.0,0.0
61,2024-06-03 20:00:00,2024-06-03 20:00:00,1,0.0,0.0,20.57071987299502,20.57071987299502,116.0,116.0,0.0,0.0,0.0
62,2024-06-04 04:00:00,2024-06-04 08:00:00,2,4.0,0.16666666666666666,20.178223986244085,20.09231346506347,118.5,119.0,0.0,0.0,0.0
63,2024-06-11 00:00:00,2024-06-18 08:00:00,45,176.0,7.333333333333333,30.725178820653692,25.554542722372943,23.155555555555555,161.0,2.0,11.11111111111111,1.5452255487394029
64,2024-06-18 20:00:00,2024-06-20 20:00:00,13,48.0,2.0,24.962230154825097,21.501814365814372,41.0,47.0,0.0,0.0,3.039632871634761
65,2024-07-14 20:00:00,2024-07-19 08:00:00,28,108.0,4.5,29.348384158611996,24.313277871928285,26.214285714285715,192.0,0.9285714285714286,0.0,0.02210126767463582
66,2024-07-23 16:00:00,2024-07-24 04:00:00,4,12.0,0.5,20.85288552470139,20.3358895669794,53.5,55.0,0.0,0.0,0.0
67,2024-07-24 16:00:00,2024-07-25 16:00:00,7,24.0,1.0,26.023976996744665,23.92906110492199,61.0,64.0,0.0,0.0,0.0
