final_equity,cagr_pct,max_drawdown_pct,calmar_ratio,sleeve,variant,entry_scale,rsi_oversold,tp_pct,sl_pct,dca_drop_pct,shallow_gap_pct,base_cooldown,trades,leverage,stop_pct,tp_return_pct,liq_hours,gate_bars,body_atr_mult,tp_exits,gated_entries,liquidations
3737.065100253586,36.87178287624191,42.20198658532299,0.8736978009718902,case1,eth_v2_deep_case1,0.3,12.0,3.0,7.000000000000001,1.2,14.000000000000002,8.0,162,,,,,,,,,
2522.818539314057,24.64794138072286,52.361686141106766,0.47072474546179455,case1,eth_v2_loose_case1,0.35,14.0,2.4,6.0,1.0,12.0,7.0,159,,,,,,,,,
2382.913528992404,22.96620673560783,61.34892327927599,0.37435386813652427,case1,eth_v2_bal_case1,0.4,16.0,2.0,5.0,0.8,10.0,6.0,162,,,,,,,,,
1398.9818389652517,8.321938263729646,78.4558095526157,0.10607166392373545,case1,btc_ref_case1,0.6,18.0,1.2,3.0,0.5,6.0,5.0,239,,,,,,,,,
7125.337515671356,59.60430246713386,77.74403668337429,0.7666736255268355,case2,baseline_case2,,,,,,,,1953,,,,,,,,,
4148.120987580563,40.32119162613523,58.182507242060396,0.6930122735753619,case3,eth_v2_deep_case3,,,,,,,,121,1.0,12.0,30.0,36.0,20.0,0.15,5.0,46.0,0.0
3022.703860841072,30.13441907460297,56.63959319704303,0.5320380563075123,case3,eth_v2_slow_case3,,,,,,,,122,1.0,10.0,20.0,36.0,16.0,0.2,7.0,46.0,0.0
2690.6187537244564,26.57756449812898,68.62541812924596,0.38728455465399153,case3,eth_v2_bal_case3,,,,,,,,128,1.5,8.0,20.0,24.0,12.0,0.25,10.0,52.0,0.0
2153.1871339156482,20.036602328972464,69.6933415547776,0.28749665150183806,case3,eth_v2_wide_case3,,,,,,,,130,1.5,10.0,25.0,24.0,16.0,0.2,9.0,54.0,0.0
1273.0909325823707,5.917862698260179,82.48719488265243,0.07174280452473893,case3,btc_ref_case3,,,,,,,,137,2.0,6.0,15.0,24.0,12.0,0.25,15.0,58.0,0.0
