variant,side,entry_time,exit_time,entry_price,exit_price,exit_reason,bars_held,hours_held,entry_capital,exit_capital,return_pct
dual_best,LONG,2022-01-03 20:30:00,2022-01-04 13:30:00,45862.21,46779.4542,tp,68,17.0,1000.0,1019.1841632000001,1.9184163200000048
dual_best,LONG,2022-01-04 19:00:00,2022-01-05 08:45:00,45673.4,46586.868,tp,55,13.75,1019.1841632000001,1038.7363585176843,1.9184163200000048
dual_best,LONG,2022-01-05 19:45:00,2022-01-05 22:45:00,44971.09,42272.82459999999,stop,12,3.0,1038.7363585176843,975.6312034909663,-6.075184959999991
dual_best,LONG,2022-01-13 15:45:00,2022-01-15 15:45:00,43167.08,43291.57,time,192,48.0,975.6312034909663,977.6622373516664,0.20817639425969592
dual_best,LONG,2022-01-17 05:00:00,2022-01-19 05:00:00,42391.58,41684.93,time,192,48.0,977.6622373516664,960.5960764545835,-1.745609091265754
dual_best,LONG,2022-01-19 11:30:00,2022-01-20 14:45:00,41925.35,42763.856999999996,tp,109,27.25,960.5960764545835,979.0243083545679,1.9184163200000048
dual_best,LONG,2022-01-20 21:45:00,2022-01-21 02:30:00,41685.19,39184.0786,stop,19,4.75,979.0243083545679,919.5467708186671,-6.075184960000001
dual_best,LONG,2022-01-29 21:45:00,2022-01-31 21:45:00,38386.37,38369.99,time,192,48.0,919.5467708186671,918.4192109283564,-0.12262126583370003
dual_best,LONG,2022-02-02 15:15:00,2022-02-04 15:15:00,37615.95,38368.269,tp,192,48.0,918.4192109283564,936.0383149568213,1.9184163200000048
dual_best,SHORT,2022-02-08 06:15:00,2022-02-08 08:15:00,45288.04,44382.2792,tp,8,2.0,936.0383149568213,954.0103973748002,1.92001568000002
dual_best,SHORT,2022-02-10 17:15:00,2022-02-10 19:15:00,45577.95,44666.390999999996,tp,8,2.0,954.0103973748002,972.3275465932267,1.920015679999998
dual_best,LONG,2022-02-20 08:30:00,2022-02-21 01:15:00,38318.0,39084.36,tp,67,16.75,972.3275465932267,990.9808369309269,1.918416320000027
dual_best,LONG,2022-02-21 11:45:00,2022-02-21 14:30:00,37489.6,38239.392,tp,11,2.75,990.9808369309269,1009.9919750346825,1.9184163200000048
dual_best,LONG,2022-02-21 18:15:00,2022-02-23 08:30:00,37918.4,38676.768000000004,tp,153,38.25,1009.9919750346825,1029.3678259144383,1.9184163200000048
dual_best,LONG,2022-02-23 19:45:00,2022-02-24 03:15:00,37592.1,35336.57399999999,stop,30,7.5,1029.3678259144383,966.8318265714054,-6.075184960000001
dual_best,SHORT,2022-03-01 13:00:00,2022-03-01 14:45:00,44578.1,43686.538,tp,7,1.75,966.8318265714054,985.3951492408067,1.920015679999998
dual_best,SHORT,2022-03-02 15:00:00,2022-03-02 15:15:00,45333.0,44426.34,tp,1,0.25,985.3951492408067,1004.3148906161897,1.920015679999998
dual_best,SHORT,2022-03-25 14:00:00,2022-03-25 17:15:00,44991.9,44092.062,tp,13,3.25,1004.3148906161897,1023.5978939925955,1.920015679999998
dual_best,SHORT,2022-03-27 20:45:00,2022-03-27 21:45:00,46111.0,46802.66499999999,stop,4,1.0,1023.5978939925955,1007.4252134998106,-1.579983759999981
dual_best,SHORT,2022-03-31 15:00:00,2022-03-31 16:30:00,46774.2,45838.71599999999,tp,6,1.5,1007.4252134998106,1026.7679355632806,1.92001568000002
dual_best,LONG,2022-04-11 19:30:00,2022-04-12 12:30:00,39882.4,40680.048,tp,68,17.0,1026.7679355632806,1046.4656192076536,1.9184163200000048
dual_best,LONG,2022-04-12 18:45:00,2022-04-13 14:00:00,39690.3,40484.10600000001,tp,77,19.25,1046.4656192076536,1066.5411864297223,1.9184163200000048
dual_best,LONG,2022-04-18 04:30:00,2022-04-18 17:15:00,38959.0,39738.18,tp,51,12.75,1066.5411864297223,1087.0018866097118,1.9184163200000048
dual_best,LONG,2022-04-26 19:30:00,2022-04-27 08:00:00,38114.3,38876.586,tp,50,12.5,1087.0018866097118,1107.8551082011406,1.918416320000027
dual_best,LONG,2022-04-30 23:45:00,2022-05-01 16:00:00,37639.4,38392.188,tp,65,16.25,1107.8551082011406,1129.108381398825,1.9184163200000048
dual_best,LONG,2022-05-05 15:15:00,2022-05-07 15:15:00,37041.0,35983.6,time,192,48.0,1129.108381398825,1095.998686485838,-2.932375266931253
dual_best,LONG,2022-06-01 20:30:00,2022-06-02 10:45:00,29566.6,30157.932,tp,57,14.25,1095.998686485838,1117.0245041543685,1.9184163200000492
dual_best,LONG,2022-06-03 14:45:00,2022-06-04 14:30:00,29315.1,29901.402,tp,95,23.75,1117.0245041543685,1138.453684540465,1.9184163200000048
dual_best,LONG,2022-06-11 11:45:00,2022-06-12 14:30:00,28772.5,27046.149999999998,stop,107,26.75,1138.453684540465,1069.2905175206968,-6.075184960000001
dual_best,LONG,2022-07-07 17:30:00,2022-07-07 18:45:00,20835.3,21252.006,tp,5,1.25,1069.2905175206968,1089.8039613170265,1.918416320000027
dual_best,LONG,2022-07-11 00:30:00,2022-07-12 19:30:00,20703.6,19461.384,stop,172,43.0,1089.8039613170265,1023.5963549656102,-6.075184960000013
dual_best,LONG,2022-07-13 23:30:00,2022-07-14 17:30:00,20108.2,20510.364,tp,72,18.0,1023.5963549656102,1043.2331944901957,1.9184163200000048
dual_best,SHORT,2022-07-20 15:00:00,2022-07-20 16:45:00,24136.3,23653.574,tp,7,1.75,1043.2331944901957,1063.2634354033723,1.920015679999998
dual_best,SHORT,2022-07-30 13:15:00,2022-07-30 19:45:00,24545.8,24054.884,tp,26,6.5,1063.2634354033723,1083.678260082824,1.92001568000002
dual_best,LONG,2022-08-19 12:30:00,2022-08-21 12:30:00,21320.6,21491.7,time,192,48.0,1083.678260082824,1091.5011640472756,0.7218843685074638
dual_best,LONG,2022-08-22 08:15:00,2022-08-22 16:00:00,20991.0,21410.82,tp,31,7.75,1091.5011640472756,1112.4407005113483,1.9184163199999826
