side,threshold_pct,hold_hours,events,median_entry_gap_pct,half_reclaim_hit_rate_pct,ema_touch_hit_rate_pct,median_time_to_half_hours,median_time_to_ema_hours,median_mfe_pct,median_mae_pct,median_adverse_abs_pct
long,4.0,24,610,4.129014450992139,40.49180327868853,8.852459016393443,9.75,15.125,1.635850846997744,-1.4499536018219072,1.4499536018219072
long,4.0,48,610,4.129014450992139,53.442622950819676,14.918032786885247,13.5,20.5,2.303115857785698,-1.965052843047116,1.965052843047116
long,6.0,24,393,6.1420052732064825,27.480916030534353,5.597964376590331,10.625,16.125,1.5501437814521957,-1.722650633904066,1.722650633904066
long,6.0,48,393,6.1420052732064825,40.458015267175576,10.941475826972011,15.75,24.0,2.428948436865608,-2.4051488739458837,2.4051488739458837
long,8.0,24,282,8.13206226519848,15.602836879432624,2.127659574468085,10.875,11.75,2.268170308273454,-1.5687721980649716,1.5687721980649716
long,8.0,48,282,8.13206226519848,30.141843971631204,4.609929078014184,22.75,24.25,3.2671002786429093,-2.5264393156230747,2.5264393156230747
long,10.0,24,205,10.155188908969818,12.195121951219512,0.0,15.5,,1.9053744572006481,-2.198357423790598,2.198357423790598
long,10.0,48,205,10.155188908969818,27.80487804878049,4.390243902439024,27.25,34.0,2.908700817485288,-2.814756889492964,2.814756889492964
long,12.0,24,239,12.13775130596087,6.694560669456067,0.8368200836820083,17.25,22.875,2.342622632047564,-2.134700488526109,2.134700488526109
long,12.0,48,239,12.13775130596087,17.154811715481173,2.092050209205021,29.75,24.75,2.739183046471738,-2.8332118444759247,2.8332118444759247
long,15.0,24,89,15.236464319910375,3.3707865168539324,0.0,14.75,,2.9161064156742134,-2.8192342986558816,2.8192342986558816
long,15.0,48,89,15.236464319910375,5.617977528089887,0.0,16.0,,3.7669062419935617,-3.334857009408332,3.334857009408332
short,4.0,24,460,4.11769422358023,38.04347826086957,10.652173913043478,10.25,13.5,1.5675386616545661,-1.4402057851867933,1.4402057851867933
short,4.0,48,460,4.11769422358023,53.91304347826087,22.608695652173914,14.625,25.5,2.2783527600433673,-2.1577388070234296,2.1577388070234296
short,6.0,24,453,6.121202245373837,25.386313465783665,5.518763796909492,12.5,9.75,1.5928252616497662,-1.3377403577729652,1.3377403577729652
short,6.0,48,453,6.121202245373837,41.05960264900662,12.141280353200882,20.25,27.5,2.3592070223888095,-1.920747534175471,1.920747534175471
short,8.0,24,497,8.123797007184951,13.480885311871226,1.2072434607645874,12.25,13.875,1.4474873687339018,-1.4770802491364199,1.4770802491364199
short,8.0,48,497,8.123797007184951,24.346076458752517,5.030181086519115,20.75,35.25,2.0427732586327574,-2.055208333333336,2.055208333333336
short,10.0,24,237,10.148030452038844,9.70464135021097,0.0,10.25,,1.7343477192912626,-1.3491782087827087,1.3491782087827087
short,10.0,48,237,10.148030452038844,20.675105485232066,3.375527426160337,24.25,40.75,2.523667150346376,-1.8110875903410095,1.8110875903410095
short,12.0,24,201,12.15044638107935,1.4925373134328357,0.0,19.75,,1.3795825293807962,-1.3090564062295473,1.3090564062295473
short,12.0,48,201,12.15044638107935,9.45273631840796,0.4975124378109453,37.5,31.5,2.249493585415263,-1.9059065934065922,1.9059065934065922
short,15.0,24,85,15.137205160443145,4.705882352941177,0.0,15.625,,1.0083235841276572,-1.9732142857142754,1.9732142857142754
short,15.0,48,85,15.137205160443145,9.411764705882353,0.0,23.75,,1.2217006053806934,-2.7834289504302223,2.7834289504302223
