variant,side,entry_time,exit_time,entry_price,exit_price,exit_reason,bars_held,hours_held,entry_capital,exit_capital,return_pct,leverage,tp_pct,sl_pct
buy_hold,LONG,2022-01-01 00:00:00,2026-03-15 05:30:00,46246.66,71666.9,final,147191,36797.75,1000.0,1548.4270203881533,54.84270203881534,1.0,,
thr20_long_1x_tp5_sl5,LONG,2022-01-22 06:00:00,2022-01-22 10:15:00,35816.08,34025.276,stop,17,4.25,1000.0,949.2199999999999,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-01-22 13:45:00,2022-01-24 10:15:00,35582.34,33803.223,stop,178,44.5,949.2199999999999,901.0186084000001,-5.0779999999999825,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-05-09 18:00:00,2022-05-11 13:00:00,31242.6,29680.469999999998,stop,172,43.0,901.0186084000001,855.2648834654481,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-05-11 16:30:00,2022-05-11 20:15:00,30619.2,29088.239999999998,stop,15,3.75,855.2648834654481,811.8345326830726,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-05-13 02:45:00,2022-05-26 13:15:00,30033.7,28532.015,stop,1290,322.5,811.8345326830726,770.6095751134261,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-06-13 08:45:00,2022-06-13 14:30:00,24472.7,23249.065,stop,23,5.75,770.6095751134261,731.4780208891663,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-06-21 14:15:00,2022-06-22 02:00:00,21464.3,20391.085,stop,47,11.75,731.4780208891663,694.3335669884143,-5.078000000000015,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-06-23 21:00:00,2022-06-26 12:15:00,20824.9,21866.145000000004,tp,253,63.25,694.3335669884143,728.4808918129046,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-06-30 06:30:00,2022-06-30 21:00:00,19552.0,18574.399999999998,stop,58,14.5,728.4808918129046,691.4886321266453,-5.078000000000005,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-07-01 10:45:00,2022-07-04 15:15:00,19150.2,20107.710000000003,tp,306,76.5,691.4886321266453,725.4960430546338,4.918000000000022,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2022-11-09 21:30:00,2022-11-10 05:15:00,15933.2,16729.86,tp,31,7.75,725.4960430546338,761.1759384520607,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2024-08-05 06:30:00,2024-08-05 07:45:00,50465.5,52988.775,tp,5,1.25,761.1759384520607,798.6105711051331,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2024-08-05 11:30:00,2024-08-05 14:00:00,50895.9,53440.69500000001,tp,10,2.5,798.6105711051331,837.8862389920836,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2025-11-21 10:15:00,2025-11-23 02:00:00,81896.2,85991.01,tp,159,39.75,837.8862389920836,879.0934842257142,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2026-02-05 15:15:00,2026-02-05 20:15:00,68447.6,65025.22,stop,20,5.0,879.0934842257142,834.4531170967323,-5.078000000000015,1.0,5.0,5.0
thr20_long_1x_tp5_sl5,LONG,2026-02-06 15:00:00,2026-02-06 17:45:00,67913.2,71308.86,tp,11,2.75,834.4531170967323,875.4915213955495,4.918,1.0,5.0,5.0
thr20_long_1x_tp5_sl7.5,LONG,2022-01-22 06:00:00,2022-01-24 11:15:00,35816.08,33129.874,stop,213,53.25,1000.0,924.2300000000001,-7.576999999999989,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-05-09 18:00:00,2022-05-11 20:15:00,31242.6,28899.405,stop,201,50.25,924.2300000000001,854.2010929000002,-7.577,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-05-13 02:45:00,2022-05-30 21:30:00,30033.7,31535.385000000002,tp,1707,426.75,854.2010929000002,896.2107026488222,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-06-13 08:45:00,2022-06-13 15:00:00,24472.7,22637.2475,stop,25,6.25,896.2107026488222,828.304817709121,-7.576999999999989,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-06-21 14:15:00,2022-06-22 16:15:00,21464.3,19854.4775,stop,104,26.0,828.304817709121,765.5441616713009,-7.577,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-06-23 21:00:00,2022-06-26 12:15:00,20824.9,21866.145000000004,tp,253,63.25,765.5441616713009,803.1936235422955,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-06-30 06:30:00,2022-07-01 00:30:00,19552.0,20529.600000000002,tp,72,18.0,803.1936235422955,842.6946859481058,4.918000000000022,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-07-01 10:45:00,2022-07-04 15:15:00,19150.2,20107.710000000003,tp,306,76.5,842.6946859481058,884.1384106030337,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2022-11-09 21:30:00,2022-11-10 05:15:00,15933.2,16729.86,tp,31,7.75,884.1384106030337,927.6203376364908,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2024-08-05 06:30:00,2024-08-05 07:45:00,50465.5,52988.775,tp,5,1.25,927.6203376364908,973.2407058414535,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2024-08-05 11:30:00,2024-08-05 14:00:00,50895.9,53440.69500000001,tp,10,2.5,973.2407058414535,1021.1046837547364,4.918000000000022,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2025-11-21 10:15:00,2025-11-23 02:00:00,81896.2,85991.01,tp,159,39.75,1021.1046837547364,1071.3226121017942,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2026-02-05 15:15:00,2026-02-05 20:45:00,68447.6,63314.030000000006,stop,22,5.5,1071.3226121017942,990.1484977828413,-7.576999999999989,1.0,5.0,7.5
thr20_long_1x_tp5_sl7.5,LONG,2026-02-06 15:00:00,2026-02-06 17:45:00,67913.2,71308.86,tp,11,2.75,990.1484977828413,1038.8440009038015,4.918,1.0,5.0,7.5
thr20_long_1x_tp5_sl10,LONG,2022-01-22 06:00:00,2022-01-26 05:00:00,35816.08,37606.884000000005,tp,380,95.0,1000.0,1049.18,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-05-09 18:00:00,2022-05-11 21:30:00,31242.6,28118.34,stop,206,51.5,1049.18,943.4646232000001,-10.075999999999997,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-05-13 02:45:00,2022-05-30 21:30:00,30033.7,31535.385000000002,tp,1707,426.75,943.4646232000001,989.8642133689762,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-06-13 08:45:00,2022-06-13 23:30:00,24472.7,22025.43,stop,59,14.75,989.8642133689762,890.1254952299182,-10.075999999999985,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-06-21 14:15:00,2022-06-30 07:00:00,21464.3,19317.87,stop,835,208.75,890.1254952299182,800.4364503305516,-10.076000000000008,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-07-01 10:45:00,2022-07-04 15:15:00,19150.2,20107.710000000003,tp,306,76.5,800.4364503305516,839.8019149578082,4.918000000000022,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2022-11-09 21:30:00,2022-11-10 05:15:00,15933.2,16729.86,tp,31,7.75,839.8019149578082,881.1033731354332,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2024-08-05 06:30:00,2024-08-05 07:45:00,50465.5,52988.775,tp,5,1.25,881.1033731354332,924.4360370262339,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2024-08-05 11:30:00,2024-08-05 14:00:00,50895.9,53440.69500000001,tp,10,2.5,924.4360370262339,969.899801327184,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2025-11-21 10:15:00,2025-11-23 02:00:00,81896.2,85991.01,tp,159,39.75,969.899801327184,1017.5994735564549,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2026-02-05 15:15:00,2026-02-06 00:15:00,68447.6,61602.840000000004,stop,36,9.0,1017.5994735564549,915.0661506009064,-10.076000000000008,1.0,5.0,10.0
thr20_long_1x_tp5_sl10,LONG,2026-02-06 15:00:00,2026-02-06 17:45:00,67913.2,71308.86,tp,11,2.75,915.0661506009064,960.069103887459,4.918,1.0,5.0,10.0
thr20_long_1x_tp5_sl12.5,LONG,2022-01-22 06:00:00,2022-01-26 05:00:00,35816.08,37606.884000000005,tp,380,95.0,1000.0,1049.18,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-05-09 18:00:00,2022-05-12 04:30:00,31242.6,27337.274999999998,stop,234,58.5,1049.18,917.245615,-12.575000000000003,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-05-13 02:45:00,2022-05-30 21:30:00,30033.7,31535.385000000002,tp,1707,426.75,917.245615,962.3557543457001,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-06-13 08:45:00,2022-06-14 01:30:00,24472.7,21413.6125,stop,67,16.75,962.3557543457001,841.3395182367282,-12.575000000000014,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-06-21 14:15:00,2022-06-30 13:45:00,21464.3,18781.2625,stop,862,215.5,841.3395182367282,735.5410738184597,-12.574999999999982,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-07-01 10:45:00,2022-07-04 15:15:00,19150.2,20107.710000000003,tp,306,76.5,735.5410738184597,771.7149838288516,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2022-11-09 21:30:00,2022-11-10 05:15:00,15933.2,16729.86,tp,31,7.75,771.7149838288516,809.6679267335545,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2024-08-05 06:30:00,2024-08-05 07:45:00,50465.5,52988.775,tp,5,1.25,809.6679267335545,849.4873953703107,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2024-08-05 11:30:00,2024-08-05 14:00:00,50895.9,53440.69500000001,tp,10,2.5,849.4873953703107,891.2651854746226,4.918000000000022,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2025-11-21 10:15:00,2025-11-23 02:00:00,81896.2,85991.01,tp,159,39.75,891.2651854746226,935.0976072962645,4.918,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2026-02-05 15:15:00,2026-02-06 00:30:00,68447.6,59891.65000000001,stop,37,9.25,935.0976072962645,817.5090831787593,-12.575000000000003,1.0,5.0,12.5
thr20_long_1x_tp5_sl12.5,LONG,2026-02-06 15:00:00,2026-02-06 17:45:00,67913.2,71308.86,tp,11,2.75,817.5090831787593,857.7141798894908,4.918000000000022,1.0,5.0,12.5
thr20_long_1x_tp5_sl15,LONG,2022-01-22 06:00:00,2022-01-26 05:00:00,35816.08,37606.884000000005,tp,380,95.0,1000.0,1049.18,4.918,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2022-05-09 18:00:00,2022-06-13 00:00:00,31242.6,26556.21,stop,3288,822.0,1049.18,891.0266068000001,-15.073999999999998,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2022-06-13 08:45:00,2022-06-15 05:45:00,24472.7,20801.795000000002,stop,180,45.0,891.0266068000001,756.7132560909681,-15.073999999999998,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2022-06-21 14:15:00,2022-07-08 01:30:00,21464.3,22537.515,tp,1581,395.25,756.7132560909681,793.9284140255219,4.918,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2022-11-09 21:30:00,2022-11-10 05:15:00,15933.2,16729.86,tp,31,7.75,793.9284140255219,832.973813427297,4.918,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2024-08-05 06:30:00,2024-08-05 07:45:00,50465.5,52988.775,tp,5,1.25,832.973813427297,873.9394655716516,4.918,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2024-08-05 11:30:00,2024-08-05 14:00:00,50895.9,53440.69500000001,tp,10,2.5,873.9394655716516,916.9198084884654,4.918,1.0,5.0,15.0
thr20_long_1x_tp5_sl15,LONG,2025-11-21 10:15:00,2025-11-23 02:00:00,81896.2,85991.01,tp,159,39.75,916.9198084884654,962.0139246699281,4.918,1.0,5.0,15.0
