variant,sr_entry_mode,smc_block_mode,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,long_sweep_events,short_sweep_events,gated_entries,blocked_long_gate,blocked_short_gate,blocked_long_smc,blocked_short_smc,blocked_long_sr,blocked_short_sr,survived_to_end,first_liquidation_ts,delta_cagr_vs_currentbest,delta_mdd_vs_currentbest,delta_calmar_vs_currentbest,meets_cagr_floor
smc5_longonly_2021plus,none,long_only,46701.295432979336,4570.129543297933,109.510547120524,52.32060938821165,2.0930671183122307,123,70,53,13,85,24,0,24,44777,780,719,53,0,19816,3649,0,0,0,1,,14.467352243047984,-0.03300636974708482,0.27765869806328825,True
smc5_longonly_long_above_redavg_2021plus,long_above_red_avg,long_only,42778.4951485384,4177.84951485384,106.00329916438098,53.25969184509767,1.9903100354520382,121,68,53,13,83,24,0,24,44777,780,719,53,0,19816,3156,0,936,0,1,,10.960104286904965,0.9060760871389348,0.17490161520309577,True
smc5_longonly_long_above_redfloor_2021plus,long_above_red_floor,long_only,41076.799521269044,4007.6799521269045,104.40056374344647,53.25969184509767,1.960217194780035,122,69,53,13,84,24,0,24,44777,780,719,53,0,19816,3228,0,795,0,1,,9.357368865970457,0.9060760871389348,0.14480877453109264,True
smc5_longonly_long_above_whiteavg_2021plus,long_above_white_avg,long_only,36350.557607462266,3535.0557607462265,99.64920087211236,54.82213373609763,1.817681912050394,124,71,53,14,85,24,0,24,44777,780,719,53,0,19816,3025,0,838,0,1,,4.606005994636348,2.468517978138898,0.0022734918014515326,True
currentbest_114_smc5_both_2021plus,none,both,32198.050068109358,3119.805006810936,95.04319487747601,52.353615757958735,1.8154084202489424,109,70,39,10,80,18,0,18,35642,780,719,39,0,31223,3648,263,0,0,1,,0.0,0.0,0.0,True
smc5_both_long_above_redavg_2021plus,long_above_red_avg,both,29493.488689359478,2849.348868935948,91.77813325649649,53.25969184509767,1.7232193818061732,107,68,39,10,78,18,0,18,35642,780,719,39,0,31223,3155,263,936,0,1,,-3.265061620979523,0.9060760871389348,-0.09218903844276927,True
smc5_both_long_above_redfloor_2021plus,long_above_red_floor,both,28320.26039880524,2732.026039880524,90.28607168089218,53.25969184509767,1.6952045449959288,108,69,39,10,79,18,0,18,35642,780,719,39,0,31223,3227,263,795,0,1,,-4.757123196583834,0.9060760871389348,-0.12020387525301368,True
reference_original_83_2021plus,none,none,39569.057423396815,3856.905742339681,102.9350573856186,62.12573250316788,1.6568827961967256,145,92,53,12,108,24,0,24,44777,780,719,53,0,19816,0,0,0,0,1,,7.891862508142594,9.772116745209146,-0.15852562405221682,True
smc5_both_long_above_whiteavg_2021plus,long_above_white_avg,both,25061.76890806847,2406.176890806847,85.86280513329392,54.82213373609763,1.5662069182972636,110,71,39,11,80,18,0,18,35642,780,719,39,0,31223,3024,263,838,0,1,,-9.180389744182094,2.468517978138898,-0.2492015019516789,False
smc5_shortonly_2021plus,none,short_only,27280.75271262651,2628.075271262651,88.92176307651647,62.12573250316788,1.4313193501900716,131,92,39,9,103,18,0,18,35642,780,719,39,0,31223,0,263,0,0,1,,-6.121431800959542,9.772116745209146,-0.38408907005887083,False
smc5_both_both_soft_2021plus,both_soft,both,12422.868014404832,1142.2868014404833,62.385029904154464,59.67352579589099,1.0454389793815433,101,69,32,11,76,13,0,13,28480,780,719,32,0,41207,3227,219,795,288,1,,-32.65816497332155,7.319910037932253,-0.7699694408673992,False
