variant,source_group,case3_name,case3_source_variant,w1,w2,w3,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,leader_cagr_pct,leader_mdd_pct,cagr_peak_pct,delta_cagr_vs_leader,delta_mdd_vs_leader,delta_calmar_vs_leader,delta_cagr_vs_cagr_peak,delta_mdd_vs_cagr_peak,delta_calmar_vs_cagr_peak,dominates_leader,beats_cagr_peak
short_gate_24h_g12_tp15_case3_w60_31_9,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.6,0.31000000000000005,0.09,53758.87275561386,2587.9436377806933,122.55949461593319,44.222030828368275,2.7714578530236045,9016,274.59408533071183,121.95773969209532,45.11167528672446,122.40320768847863,0.6017549238378734,-0.8896444583561873,0.06799497081082073,0.15628692745455908,-1.2226744297313985,0.07800419338824938,True,True
short_gate_24h_g12_tp15_case3_w59_32_9,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.32000000000000006,0.09,53916.93310559402,2595.846655279701,122.71837262273584,44.33372116545574,2.7680593777532123,9016,276.99182590203134,121.95773969209532,45.11167528672446,122.40320768847863,0.7606329306405257,-0.7779541212687207,0.06459649554042857,0.31516493425721137,-1.1109840926439318,0.07460571811785721,True,True
short_gate_24h_g12_tp15_case3_w58_33_9,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.58,0.33000000000000007,0.09,54060.787268513064,2603.0393634256534,122.86266480238885,44.445802770629705,2.764325473801047,9016,279.1148827516083,121.95773969209532,45.11167528672446,122.40320768847863,0.904925110293533,-0.6658725160947583,0.06086259158826346,0.4594571139102186,-0.9989024874699695,0.0708718141656921,True,True
short_gate_24h_g12_tp15_case3_w60_32_8,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.6,0.32,0.08,53623.793479158245,2581.1896739579124,122.42343611482428,44.77935552055155,2.73392581674468,9016,271.9647868534958,121.95773969209532,45.11167528672446,122.40320768847863,0.4656964227289677,-0.33231976617291537,0.030462934531896302,0.02022842634565336,-0.6653497375481265,0.04047215710932495,True,True
short_gate_24h_g12_tp15_case3_w59_33_8,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.33,0.08,53769.15795709762,2588.457897854881,122.56984377124071,44.890900456128946,2.730393966835795,9016,274.17851301450736,121.95773969209532,45.11167528672446,122.40320768847863,0.6121040791453964,-0.2207748305955164,0.02693108462301108,0.16663608276208208,-0.5538048019707276,0.036940307200439726,True,True
short_gate_24h_g12_tp15_case3_w58_34_8,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.58,0.34,0.08,53900.28497858998,2595.014248929499,122.70165499792931,45.002832925577316,2.7265317985835495,9016,276.1183677780665,121.95773969209532,45.11167528672446,122.40320768847863,0.743915305833994,-0.10884236114714696,0.023068916370765802,0.29844730945067965,-0.44187233252235814,0.03307813894819445,True,True
short_gate_24h_g12_tp15_case3_w62_29_9,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.29000000000000004,0.09,53400.67670358319,2570.0338351791593,122.1981326715325,43.9998329299887,2.777240833299771,9016,268.9669812508271,121.95773969209532,45.11167528672446,122.40320768847863,0.24039297943718907,-1.1118423567357638,0.07377795108698715,-0.2050750169461253,-1.444872328110975,0.08378717366441579,True,False
short_gate_24h_g12_tp15_case3_w61_30_9,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.61,0.30000000000000004,0.09,53586.739933753204,2579.3369966876603,122.38606862205317,44.110734003484794,2.7745189779064785,9016,271.91952819020173,121.95773969209532,45.11167528672446,122.40320768847863,0.428328929957857,-1.0009412832396691,0.07105609569369475,-0.017139066425457372,-1.3339712546148803,0.0810653182711234,True,False
short_gate_24h_g12_tp15_case3_w62_30_8,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.3,0.08,53290.864276327324,2564.5432138163665,122.08698228361739,44.557432926345975,2.739991383377691,9016,266.7098157763938,121.95773969209532,45.11167528672446,122.40320768847863,0.12924259152207185,-0.5542423603784883,0.03652850116490747,-0.3162254048612425,-0.8872723317536995,0.04653772374233611,True,False
short_gate_24h_g12_tp15_case3_w61_31_8,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.61,0.31,0.08,53464.317979937914,2573.2158989968957,122.26247018968755,44.668198932927005,2.7371255862201824,9016,269.4758214322487,121.95773969209532,45.11167528672446,122.40320768847863,0.3047304975922316,-0.44347635379745753,0.03366270400739868,-0.14073749879108277,-0.7765063251726687,0.043671926584827325,True,False
short_gate_24h_g12_tp15_case3_w58_35_7,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.58,0.35000000000000003,0.07,53722.16103112848,2586.108051556424,122.5225423899416,45.55648271161933,2.68946448665783,9016,272.8593388237695,121.95773969209532,45.11167528672446,122.40320768847863,0.5648026978462894,0.4448074248948686,-0.013998395554953635,0.11933470146297509,0.1117774535196574,-0.003989172977524991,False,True
study85_leader_reference,study85_reference,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.31,0.07,53163.39244939359,2558.1696224696793,121.95773969209532,45.11167528672446,2.7034628822127837,9016,264.18253470257184,121.95773969209532,45.11167528672446,122.40320768847863,0.0,0.0,0.0,-0.44546799638331436,-0.3330299713752112,0.010009222577428645,False,False
short_gate_24h_g12_tp15_case3_w62_31_7,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.31,0.07,53163.39244939359,2558.1696224696793,121.95773969209532,45.11167528672446,2.7034628822127837,9016,264.18253470257184,121.95773969209532,45.11167528672446,122.40320768847863,0.0,0.0,0.0,-0.44546799638331436,-0.3330299713752112,0.010009222577428645,False,False
short_gate_24h_g12_tp15_case3_w61_32_7,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.61,0.32,0.07,53324.23029776305,2566.2115148881526,122.120773159561,45.22230042588606,2.700454687388191,9016,266.7645697923634,121.95773969209532,45.11167528672446,122.40320768847863,0.16303346746568081,0.11062513916159844,-0.0030081948245928025,-0.28243452891763354,-0.22240483221361274,0.007001027752835842,False,False
short_gate_24h_g12_tp15_case3_w60_33_7,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.6,0.33,0.07,53471.05156526614,2573.552578263307,122.26927404932151,45.33331106896787,2.697117663947093,9016,269.0707908869757,121.95773969209532,45.11167528672446,122.40320768847863,0.3115343572261935,0.22163578224341052,-0.0063452182656908995,-0.13393363915712087,-0.11139418913180066,0.003664004311737745,False,False
study85_cagr_peak_reference,study85_reference,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.34,0.07,53603.732597514914,2580.1866298757454,122.40320768847863,45.444705258099674,2.693453659635355,9016,271.1024329135502,121.95773969209532,45.11167528672446,122.40320768847863,0.44546799638331436,0.3330299713752112,-0.010009222577428645,0.0,0.0,0.0,False,False
short_gate_24h_g12_tp15_case3_w59_34_7,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.34,0.07,53603.732597514914,2580.1866298757454,122.40320768847863,45.444705258099674,2.693453659635355,9016,271.1024329135502,121.95773969209532,45.11167528672446,122.40320768847863,0.44546799638331436,0.3330299713752112,-0.010009222577428645,0.0,0.0,0.0,False,False
short_gate_24h_g12_tp15_case3_w62_32_6,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.32,0.06,53018.390181023904,2550.9195090511953,121.81043765065058,45.66256869513149,2.6676212296317425,9016,261.3885021308103,121.95773969209532,45.11167528672446,122.40320768847863,-0.1473020414447319,0.5508934084070276,-0.03584165258104122,-0.5927700378280463,0.21786343703181643,-0.025832430003612572,False,False
short_gate_24h_g12_tp15_case3_w61_33_6,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.61,0.33,0.06,53166.62431446791,2558.3312157233954,121.96101934896704,45.77304757272675,2.6644723437998885,9016,263.7869097159678,121.95773969209532,45.11167528672446,122.40320768847863,0.0032796568717259333,0.6613722860022904,-0.03899053841289524,-0.4421883395115884,0.3283423146270792,-0.028981315835466592,False,False
short_gate_24h_g12_tp15_case3_w60_34_6,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.6,0.34,0.06,53300.811056945,2565.04055284725,122.09705739309334,45.88390678505361,2.6609995954587213,9016,265.9110644252008,121.95773969209532,45.11167528672446,122.40320768847863,0.13931770099802065,0.7722314983291483,-0.04246328675406241,-0.3061502953852937,0.4392015269539371,-0.03245406417663377,False,False
short_gate_24h_g12_tp15_case3_w59_35_6,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.59,0.35000000000000003,0.06,53420.83579026066,2571.041789513033,122.21851857806452,45.99514575353496,2.6572047240152816,9016,267.7612913767627,121.95773969209532,45.11167528672446,122.40320768847863,0.2607788859692022,0.8834704668105005,-0.04625815819750212,-0.18468911041411218,0.5504404954352893,-0.036248935620073475,False,False
short_gate_24h_g12_tp15_case3_w58_36_6,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.58,0.36000000000000004,0.06,53526.60210477253,2576.3301052386264,122.3253796054467,46.10676114595121,2.6530898411672212,9016,269.33783659426035,121.95773969209532,45.11167528672446,122.40320768847863,0.3676399133513826,0.995085859226748,-0.050373041045562506,-0.07782808303193178,0.6620558878515368,-0.04036381846813386,False,False
short_gate_24h_g12_tp15_case3_w62_33_5,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.62,0.33,0.05,52855.989707715904,2542.7994853857954,121.64509900153129,46.21012224403424,2.6324340446261374,9016,258.3298507159109,121.95773969209532,45.11167528672446,122.40320768847863,-0.31264069056402377,1.0984469573097755,-0.07102883758664635,-0.7581086869473381,0.7654169859345643,-0.06101961500921771,False,False
short_gate_24h_g12_tp15_case3_w61_34_5,study84_best,short_gate_24h_g12_tp15_case3,short_gate_24h_g12_tp15,0.61,0.34,0.05,52991.63503515633,2549.5817517578166,121.78322484633215,46.32044935053663,2.6291460155043005,9016,260.54741049851543,121.95773969209532,45.11167528672446,122.40320768847863,-0.17451484576317,1.2087740638121645,-0.07431686670848325,-0.6199828421464844,0.8757440924369533,-0.06430764413105461,False,False
