variant,source_group,case3_name,case3_source_variant,w1,w2,w3,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref116_cagr_pct,ref116_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_116,delta_mdd_vs_116,delta_calmar_vs_116,dominates_116,dominates_85,beats_116_cagr
lv3p0_g12_body25_tp20_lb5_none_case3_w52_28_20,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.27999999999999997,0.2,61048.598054325375,2952.4299027162688,129.5208574626566,43.56794489138004,2.972847532413273,9018,356.27710997511343,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.563117770561291,-1.5437303953444257,0.2693846502004891,6.961362846749182,-0.6540859369889063,0.20138967939029273,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_w52_28_20,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.52,0.27999999999999997,0.2,60985.790001910325,2949.2895000955164,129.4634456388867,43.56794489138004,2.9715297786401025,9018,357.0963432038118,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.50570594679138,-1.5437303953444257,0.26806689642731873,6.903951022979271,-0.6540859369889063,0.2000719256171224,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_w50_30_20,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.3,0.2,61427.61054195286,2971.380527097643,129.8663608997665,43.793477597834865,2.965427000165592,9018,360.88432143257313,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.908621207671189,-1.3181976888895974,0.2619641179528083,7.30686628385908,-0.428553230534078,0.19396914714261193,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_w50_30_20,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.3,0.2,61364.38532908875,2968.2192664544373,129.80883787363697,43.793477597834865,2.9641134934681386,9018,361.66309035839754,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.8510981815416585,-1.3181976888895974,0.2606506112553548,7.249343257729549,-0.428553230534078,0.19265564044515848,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_w54_26_20,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.54,0.25999999999999995,0.2,60605.885509415726,2930.2942754707865,129.1152236911003,43.68769292538091,2.955414100525533,9018,350.4989030019399,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.157483999004995,-1.4239823613435547,0.25195121831274925,6.555729075192886,-0.5343379029880353,0.1839562475025529,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_w54_26_20,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.54,0.25999999999999995,0.2,60543.56690910405,2927.1783454552024,129.05794457627624,43.68769292538129,2.9541029963909424,9018,351.35567969486493,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,7.1002048841809255,-1.423982361343171,0.2506401141781587,6.498449960368816,-0.5343379029876516,0.18264514336796234,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_w56_27_17,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.56,0.2699999999999999,0.17,59416.41096330208,2870.820548165104,128.01415071514378,44.09178068829106,2.9033563334660015,9018,336.0803319289658,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,6.056411023048469,-1.0198945984334031,0.19989345125321778,5.4546560992363595,-0.1302501400778837,0.13189848044302144,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_w56_27_17,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.56,0.2699999999999999,0.17,59364.578997086624,2868.2289498543314,127.9657928762036,44.09178068829106,2.9022595794183013,9018,336.8233896341967,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,6.008053184108277,-1.0198945984334031,0.19879669720551751,5.406298260296168,-0.1302501400778837,0.13080172639532117,True,True,True
lv3p0_g8_body20_tp20_lb5_none_case3_w52_28_20,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.52,0.27999999999999997,0.2,57270.49823669485,2763.524911834743,125.98478088641345,43.56794489138027,2.89168518736671,9018,340.8891081939503,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,4.02704119431813,-1.5437303953441912,0.18822230515392624,3.425286270506021,-0.6540859369886718,0.1202273343437299,True,True,True
lv3p0_g8_body25_tp20_lb5_none_case3_w52_28_20,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.52,0.27999999999999997,0.2,57207.131624891415,2760.356581244571,125.92398684140295,43.56794489138027,2.890289802636903,9018,340.33835602155,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.966247149307634,-1.5437303953441912,0.18682692042411908,3.3644922254955247,-0.6540859369886718,0.11883194961392274,True,True,True
lv3p0_g8_body20_tp20_lb5_none_case3_w50_30_20,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.5,0.3,0.2,57620.27833081888,2781.013916540944,126.31944736206773,43.79347759783462,2.8844351782721556,9018,345.2710918743572,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,4.361707669972418,-1.3181976888898461,0.18097229605937182,3.759952746160309,-0.4285532305343267,0.11297732524917548,True,True,True
lv3p0_g8_body25_tp20_lb5_none_case3_w50_30_20,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.5,0.3,0.2,57556.587248314725,2777.8293624157363,126.25862303712961,43.79347759783462,2.883046288230202,9018,344.72553696015376,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,4.300883345034293,-1.3181976888898461,0.1795834060174184,3.699128421222184,-0.4285532305343267,0.11158843520722206,True,True,True
lv3p0_g8_body20_tp20_lb5_none_case3_w54_26_20,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.54,0.25999999999999995,0.2,56860.88564383387,2743.0442821916936,125.59089457700354,43.687692925381086,2.8747431179649094,9018,335.386714942634,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.6331548849082225,-1.423982361343377,0.1712802357521257,3.0313999610961133,-0.5343379029878577,0.10328526494192936,True,True,True
lv3p0_g8_body25_tp20_lb5_none_case3_w54_26_20,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.54,0.25999999999999995,0.2,56797.90546790431,2739.8952733952156,125.53014205198183,43.68769292538137,2.873352508368603,9018,334.8316065966793,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.5724023598865102,-1.4239823613430929,0.16988962615581915,2.970647436074401,-0.5343379029875734,0.10189465534562281,True,True,True
lv3p0_g8_body20_tp20_lb5_none_case3_w56_27_17,study117_live,lv3p0_g8_body20_tp20_lb5_none_case3,lv3p0_g8_body20_tp20_lb5_none,0.56,0.2699999999999999,0.17,56285.22026643491,2714.2610133217454,125.03368409800255,44.09178068829124,2.8357594577985776,9018,323.70991917142635,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.0759444059072365,-1.0198945984332255,0.13229657558579389,2.4741894820951273,-0.13025014007770608,0.06430160477559754,True,True,True
lv3p0_g8_body25_tp20_lb5_none_case3_w56_27_17,study117_live,lv3p0_g8_body25_tp20_lb5_none_case3,lv3p0_g8_body25_tp20_lb5_none,0.56,0.2699999999999999,0.17,56231.740493272875,2711.5870246636437,124.98170014156949,44.09178068829124,2.834580463536573,9018,323.2376989663644,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,3.023960449474174,-1.0198945984332255,0.13111758132378926,2.422205525662065,-0.13025014007770608,0.06312261051359291,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_w54_29_17,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.54,0.2899999999999999,0.17,59835.57482781839,2891.7787413909195,128.40405070947233,44.31452615190299,2.897561180487954,9018,341.74795233400437,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,6.446311017377013,-0.7971491348214741,0.19409829827517022,5.844556093564904,0.09249532353404533,0.12610332746497388,False,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_w54_29_17,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.54,0.2899999999999999,0.17,59783.34827912041,2889.1674139560205,128.35558332811667,44.31452615190299,2.896467467307099,9018,342.4596251849963,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,6.397843636021349,-0.7971491348214741,0.1930045850943154,5.79608871220924,0.09249532353404533,0.12500961428411905,False,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_w52_31_17,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.52,0.30999999999999994,0.17,60192.10403361895,2909.605201680947,128.73406497568243,44.53884292636696,2.8903773990830812,9018,346.26356298493647,121.95773969209532,45.11167528672446,122.55949461590743,44.22203082836894,6.776325283587113,-0.5728323603575021,0.18691451687029748,6.174570359775004,0.31681209799801735,0.11891954606010113,False,True,True
