variant,source_group,case3_name,case3_source_variant,w1,w2,w3,rebalance_hours,final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,ref85_cagr_pct,ref85_mdd_pct,ref118_cagr_pct,ref118_mdd_pct,delta_cagr_vs_85,delta_mdd_vs_85,delta_calmar_vs_85,delta_cagr_vs_118,delta_mdd_vs_118,delta_calmar_vs_118,meets_target,dominates_118,dominates_85
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w49_27_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.27,0.24,1,64098.071043316624,3104.903552165831,132.2560568255974,42.838210150795945,3.0873385316529163,36069,827.4881664736898,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,10.298317133502081,-2.273465135928518,0.3838756494401325,2.7351993629134483,-0.7297347405835382,0.11449099923897776,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb1h_w49_27_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.49,0.27,0.24,1,64012.508431280854,3100.6254215640424,132.1806699005055,42.838210150795945,3.0855787259834795,36069,829.8234122375881,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,10.22293020841019,-2.273465135928518,0.38211584377069574,2.6598124378215573,-0.7297347405835382,0.11273119356954098,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w48_28_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.28,0.24,1,64281.42579054479,3114.0712895272395,132.417349617831,42.9899767730039,3.08019123427357,36069,830.8880259837015,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,10.459609925735691,-2.1216985137205597,0.37672835206078625,2.896492155147058,-0.5779681183755798,0.10734370185963149,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb1h_w48_28_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.48,0.28,0.24,1,64195.288280302564,3109.7644140151283,132.34161993985904,42.9899767730039,3.0784296683538717,36069,833.1680065572775,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,10.383880247763727,-2.1216985137205597,0.3749667861410879,2.8207624771750943,-0.5779681183755798,0.10558213593993315,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w50_27_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.5,0.27,0.23,1,63570.49217770045,3078.5246088850226,131.7900017865524,42.94359965497595,3.06890905386134,36069,813.6706908307879,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,9.832262094457093,-2.168075631748515,0.3654461716485562,2.26914432386846,-0.6243452364035349,0.09606152144740143,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb1h_w50_27_23,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.5,0.27,0.23,1,63489.2660649865,3074.4633032493252,131.71798805757328,42.94359965497595,3.0672321164467378,36069,815.9226545457068,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,9.760248365477963,-2.168075631748515,0.363769234233954,2.1971305948893303,-0.6243452364035349,0.09438458403279926,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w49_27_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.27,0.24,4,62598.24113405268,3029.912056702634,130.9234047065155,42.71155321974113,3.065292522445734,9018,373.64418288539633,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.965665014420182,-2.400122066983336,0.3618296402329504,1.402547243831549,-0.856391671638356,0.09244499003179563,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb4h_w48_28_24,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.48,0.28,0.24,4,62805.48283170918,3040.2741415854593,131.10897560371666,42.77505658776071,3.065080120577352,9018,376.0700922185128,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,9.151235911621342,-2.336618698963754,0.3616172383645684,1.5881181410327088,-0.7928883036187742,0.09223258816341362,True,True,True
lv3p0_g12_body25_tp20_lb5_none_case3_rb1h_w49_28_23,study117_live,lv3p0_g12_body25_tp20_lb5_none_case3,lv3p0_g12_body25_tp20_lb5_none,0.49,0.28,0.23,1,63755.17592823149,3087.758796411574,131.95348049651125,43.064475839002384,3.064091177838147,36069,817.2355746292554,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,9.99574080441593,-2.047199447722079,0.36062829562536347,2.432623033827298,-0.503469052377099,0.09124364542420871,True,True,True
lv3p0_g12_body20_tp20_lb5_none_case3_rb4h_w49_27_24,study117_live,lv3p0_g12_body20_tp20_lb5_none_case3,lv3p0_g12_body20_tp20_lb5_none,0.49,0.27,0.24,4,62520.76261127023,3026.0381305635115,130.85390850408265,42.71155321974113,3.0636654169626976,9018,374.5810762751706,121.95773969209532,45.11167528672446,129.52085746268395,43.56794489137948,8.896168811987337,-2.400122066983336,0.3602025347499138,1.3330510413987042,-0.856391671638356,0.09081788454875905,True,True,True
