variant,rebalance_mode,w1,w2,w3,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,rebalance_count,fee_paid,deferred_due_bars,flat_rebalance_hits
weekly_due_allflat_w0_55_45,weekly_due_allflat,0.0,0.55,0.45,183130.11153403047,9056.505576701524,138.48910416412124,54.7645307414965,2.5288102041415734,2,25.746112953629332,181803,2
weekly_due_allflat_w0_50_50,weekly_due_allflat,0.0,0.5,0.5,188668.32543226637,9333.416271613318,139.86023804866693,55.463110521846644,2.5216803877881437,2,25.87541729861382,181803,2
weekly_due_allflat_w0_45_55,weekly_due_allflat,0.0,0.45,0.55,194141.75644813405,9607.087822406704,141.18376005342736,56.16755590521698,2.5136176530749466,2,25.4872236531983,181803,2
no_rebalance_w0_55_45,no_rebalance,0.0,0.55,0.45,179923.35937498766,8896.167968749383,137.6798064790054,54.86471698277662,2.509441660333844,0,0.0,0,0
monthly_due_allflat_w0_55_45,monthly_due_allflat,0.0,0.55,0.45,179901.55631805773,8895.077815902887,137.67426424374798,54.86471698277662,2.5093406439509622,1,21.803056929925177,179339,1
weekly_due_allflat_w0_40_60,weekly_due_allflat,0.0,0.4,0.6,199550.40458226996,9877.520229113497,142.46233899277345,56.85282932522169,2.5058091335759207,2,24.589376520086663,181803,2
weekly_due_allflat_w0_60_40,weekly_due_allflat,0.0,0.6,0.4,177527.11475406657,8776.355737703328,137.06742005082847,54.76326944430764,2.502907906004796,2,25.091464860316993,181803,2
no_rebalance_w0_50_50,no_rebalance,0.0,0.5,0.5,185429.1818320694,9171.459091603469,139.06231188105505,55.562799041604904,2.5027952925288464,0,0.0,0,0
monthly_due_allflat_w0_50_50,monthly_due_allflat,0.0,0.5,0.5,185407.15854224117,9170.357927112058,139.0568482968784,55.562799041604904,2.5026969608344234,1,22.02328982820775,179339,1
weekly_due_allflat_w0_35_65,weekly_due_allflat,0.0,0.35,0.65,204894.2698365585,10144.713491827924,143.69840649524374,57.51977944608549,2.498243350010327,2,23.189719146769015,181803,2
no_rebalance_w0_45_55,no_rebalance,0.0,0.45,0.55,190935.00428908665,9446.750214454332,140.41205376458223,56.26474269113291,2.4955602220626627,0,0.0,0,0
monthly_due_allflat_w0_45_55,monthly_due_allflat,0.0,0.45,0.55,190913.20123215672,9445.660061607836,140.40677114082166,56.26474269113291,2.495466333358869,1,21.80305692992368,179339,1
no_rebalance_w0_40_60,no_rebalance,0.0,0.4,0.6,196440.82674614678,9722.041337307339,141.73072062206217,56.94565553009679,2.488876794949791,0,0.0,0,0
monthly_due_allflat_w0_40_60,monthly_due_allflat,0.0,0.4,0.6,196419.6843879117,9720.984219395585,141.72571435541053,56.94565553009679,2.488788881892947,1,21.142358235079424,179339,1
weekly_due_allflat_w0_30_70,weekly_due_allflat,0.0,0.3,0.7,210173.3522141394,10408.667610706969,144.8941845911779,58.23627851326037,2.4880399003893348,2,21.296093525504176,181803,2
no_rebalance_w0_35_65,no_rebalance,0.0,0.35,0.65,201946.64920319172,9997.332460159587,143.019869524475,57.606468759363416,2.4827050260953274,0,0.0,0,0
monthly_due_allflat_w0_35_65,monthly_due_allflat,0.0,0.35,0.65,201926.60800944804,9996.330400472401,143.01522877948307,57.606468759363416,2.4826244666531,1,20.04119374366833,179339,1
no_rebalance_w0_30_70,no_rebalance,0.0,0.3,0.7,207452.47166024454,10272.623583012226,144.2809396204908,58.315005922155216,2.4741648798439915,0,0.0,0,0
monthly_due_allflat_w0_30_70,monthly_due_allflat,0.0,0.3,0.7,207433.97209678884,10271.698604839441,144.27674792553796,58.315005922155216,2.474092999632602,1,18.499563455694958,179339,1
