variant,max_bearish_above_for_long,long_bullish_delay_bars,long_premium_cap_red_avg_pct,long_short_sweep_cooldown_bars,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,return_2026_pct,mdd_2026_pct,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,blocked_short_gate,blocked_long_quality_bearish_ob,blocked_long_quality_delay,blocked_long_quality_cap,blocked_long_quality_cooldown,survived_to_end,first_liquidation_ts,meets_cagr_guardrail
lb4_delay8_capna_cd0,4,8,,0,167824.23752729833,16682.423752729832,167.97731613586654,64.58087249455677,2.601038196720315,-11.57638712131418,33.147253725078954,120,67,53,12,82,25,0,25,46778,719,53,18288,4409,50,0,0,1,,True
lb4_delay8_capna_cd8,4,8,,8,167824.23752729833,16682.423752729832,167.97731613586654,64.58087249455677,2.601038196720315,-11.57638712131418,33.147253725078954,120,67,53,12,82,25,0,25,46778,719,53,18288,4409,50,0,0,1,,True
lb4_delay8_capna_cd16,4,8,,16,159229.9538330668,15822.99538330668,165.2804151597623,64.58087249455679,2.5592781387971026,-11.714744196291527,33.157759600599,120,67,53,12,82,25,0,25,46778,719,53,18288,4528,50,0,13,1,,True
lb4_delay16_capna_cd0,4,16,,0,148934.17090616364,14793.417090616364,161.8902116611175,64.58087249455679,2.5067826650183838,-11.590642322689582,32.71150912906258,119,66,53,13,80,25,0,25,46778,719,53,18288,4789,94,0,0,1,,True
lb4_delay16_capna_cd8,4,16,,8,148934.17090616364,14793.417090616364,161.8902116611175,64.58087249455679,2.5067826650183838,-11.590642322689582,32.71150912906258,119,66,53,13,80,25,0,25,46778,719,53,18288,4789,94,0,0,1,,True
lb4_delay16_capna_cd16,4,16,,16,148934.17090616364,14793.417090616364,161.8902116611175,64.58087249455679,2.5067826650183838,-11.590642322689582,32.71150912906258,119,66,53,13,80,25,0,25,46778,719,53,18288,4789,94,0,0,1,,True
lb4_delay4_capna_cd16,4,4,,16,142451.189278978,14145.1189278978,159.65709519565934,64.58087249455679,2.4722040602519897,-11.689012205632498,33.13760261009825,122,69,53,12,84,25,0,25,46778,719,53,18288,3929,27,0,24,1,,True
lb4_delay8_cap2p5_cd0,4,8,2.5,0,134994.20422360988,13399.420422360987,156.98459637648915,64.58087249455677,2.4308218565755775,-7.349189906637232,31.59381256147903,121,68,53,14,81,25,0,25,46778,719,53,18288,5007,50,21,0,1,,True
lb4_delay8_cap2p5_cd8,4,8,2.5,8,134994.20422360988,13399.420422360987,156.98459637648915,64.58087249455677,2.4308218565755775,-7.349189906637232,31.59381256147903,121,68,53,14,81,25,0,25,46778,719,53,18288,5007,50,21,0,1,,True
lb4_delay0_capna_cd16,4,0,,16,133715.77640283367,13271.577640283365,156.51451088631515,64.58087249455679,2.4235428361471425,-11.68901220563252,33.13760261009826,122,69,53,12,84,25,0,25,46778,719,53,18288,3802,0,0,33,1,,True
lb4_delay16_cap2p5_cd0,4,16,2.5,0,132507.05248142235,13150.705248142234,156.06670585676304,64.58087249455679,2.4166088166417565,-7.490590173835399,31.701828012406075,120,67,53,14,80,25,0,25,46778,719,53,18288,5299,94,14,0,1,,True
lb4_delay16_cap2p5_cd8,4,16,2.5,8,132507.05248142235,13150.705248142234,156.06670585676304,64.58087249455679,2.4166088166417565,-7.490590173835399,31.701828012406075,120,67,53,14,80,25,0,25,46778,719,53,18288,5299,94,14,0,1,,True
lb4_delay16_cap2p5_cd16,4,16,2.5,16,132507.05248142235,13150.705248142234,156.06670585676304,64.58087249455679,2.4166088166417565,-7.490590173835399,31.701828012406075,120,67,53,14,80,25,0,25,46778,719,53,18288,5299,94,14,0,1,,True
lb4_delay0_cap2p5_cd16,4,0,2.5,16,132045.96911424617,13104.596911424616,155.89501537222174,64.58087249455679,2.4139502820337615,-7.322185513228985,31.57318394606832,123,70,53,13,84,25,0,25,46778,719,53,18288,4372,0,21,33,1,,True
lb4_delay4_capna_cd0,4,4,,0,128960.00023602354,12796.000023602355,154.73328043493245,64.58087249455677,2.3959614427317346,-10.004782221050078,33.01169242853514,123,70,53,12,85,25,0,25,46778,719,53,18288,3779,27,0,0,1,,True
lb4_delay4_capna_cd8,4,4,,8,128960.00023602354,12796.000023602355,154.73328043493245,64.58087249455677,2.3959614427317346,-10.004782221050078,33.01169242853514,123,70,53,12,85,25,0,25,46778,719,53,18288,3779,27,0,0,1,,True
lb4_delay8_cap2p5_cd16,4,8,2.5,16,128281.87099679887,12728.187099679886,154.47498971063203,64.58087249455679,2.3919619500905935,-7.349189906637221,31.59381256147902,121,68,53,14,81,25,0,25,46778,719,53,18288,5126,50,20,13,1,,True
lb4_delay0_capna_cd8,4,0,,8,121051.89604769592,12005.189604769592,151.65028819257,64.58087249455677,2.348222969662603,-10.00478222105009,33.011692428535156,123,70,53,12,85,25,0,25,46778,719,53,18288,3652,0,0,9,1,,True
baseline_case3_117,4,0,,0,120243.70320127708,11924.37032012771,151.32613047083146,64.58087249455677,2.343203562069962,-10.69263953830183,33.06259880775516,123,70,53,12,85,25,0,25,46778,719,53,18288,3649,0,0,0,1,,True
