rank_by_final_equity,period_start,period_end,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,max_drawdown_amount,calmar_ratio,annual_volatility_pct,sharpe_365,sortino_365,trades,long_trades,short_trades,win_rate_pct,long_win_rate_pct,short_win_rate_pct,gross_profit,gross_loss,net_pnl_sum,profit_factor,avg_pnl_per_trade,median_pnl_per_trade,avg_return_pct_per_trade,median_return_pct_per_trade,avg_holding_hours,median_holding_hours,max_consecutive_wins,max_consecutive_losses,best_trade_pnl,worst_trade_pnl,best_trade_reason,worst_trade_reason,case_id,entry_scale,take_profit_pct,stop_loss_pct,fixed_hysteresis,worst_month,max_dd_peak_time,max_dd_trough_time,max_dd_recovery_time,max_dd_peak_to_trough_days,max_dd_recovery_days
1,2022-01-01 03:20:00,2026-02-12,9785.965573959744,878.5965573959745,74.1369001490264,51.72679457361726,4515.179166424177,1.4332397891679758,67.52601127815187,1.15154749194932,1.4867741124352076,656,541,115,86.28048780487805,99.81515711645102,22.608695652173914,37531.51174282393,-13559.832761197486,23971.678981626446,2.7678447370105674,36.54219356955251,15.318255153048325,3.65421935695525,1.5318255153048326,75.16592987804879,4.0,115,22,7898.271250928389,-8578.956622491707,Final Hedge Close,Final Close,s0.40_tp0.80_sl4.00,0.4,0.008,0.04,0.0,2025-01 (-32.4929%),2022-03-13 23:01:00,2023-01-06 13:29:00,2024-01-11 11:53:00,298.60277777777776,668.5361111111112
2,2022-01-01 03:20:00,2026-02-12,5906.5182698053395,490.6518269805339,54.017170526911194,39.42868539214774,2054.7175397412957,1.3699967419575385,48.49505308712209,1.129780023593513,1.4165621111086368,656,541,115,86.28048780487805,99.81515711645102,22.608695652173914,19184.209487920776,-6565.6568882668735,12618.5525996539,2.921902532281854,19.235598475082163,9.201539381535998,1.923559847508217,0.9201539381535997,75.16592987804879,4.0,115,22,3441.933109705716,-3738.564289269314,Final Hedge Close,Final Close,s0.30_tp0.80_sl4.00,0.3,0.008,0.04,0.0,2022-04 (-23.5265%),2022-03-13 23:01:00,2023-01-06 13:29:00,2024-01-11 11:54:00,298.60277777777776,668.5368055555556
3,2022-01-01 03:20:00,2026-02-12,4877.211941071734,387.7211941071734,47.00992724007622,51.06017878596665,1583.3689462573248,0.920676902388685,66.05971132332942,0.9065017893226094,1.1270424048982606,636,521,115,85.84905660377359,99.80806142034548,22.608695652173914,20053.529972529825,-8377.596688838055,11675.93328369177,2.393709164735547,18.358385666182027,9.72643163208193,1.8358385666182029,0.972643163208193,81.8192610062893,2.8,171,22,2863.137516050354,-4499.707309935644,Final Hedge Close,Final Close,s0.40_tp0.60_sl4.00,0.4,0.006,0.04,0.0,2022-04 (-35.3902%),2022-02-24 07:34:00,2023-01-06 13:29:00,2024-01-11 10:42:00,316.24652777777777,686.1305555555556
4,2022-01-01 03:20:00,2026-02-12,4853.416001874623,385.34160018746235,46.835183527400034,50.54188109845133,2534.428565831875,0.9266608703417477,76.40970998716709,0.869383578315693,1.1506502650993835,571,456,115,84.23817863397548,99.78070175438597,22.608695652173914,21423.640137595805,-7543.926644912685,13879.713492683119,2.83985265843525,24.307729409252396,14.34191568587493,2.4307729409252397,1.434191568587493,88.38388791593695,4.0,126,22,2587.2567708929064,-3491.227232363808,Final Hedge Close,Final Close,s0.40_tp0.80_sl8.00,0.4,0.008,0.08,0.0,2025-06 (-31.5316%),2024-03-13 11:46:00,2024-05-20 13:39:00,2024-11-23 13:56:00,68.07847222222222,255.09027777777777
5,2022-01-01 03:20:00,2026-02-12,4084.9993706174123,308.4999370617412,40.80791932016159,53.89553542397242,1313.4920193771563,0.7571669712369249,68.23459219100762,0.8349589030425244,1.0528163340843102,463,348,115,80.56155507559394,99.71264367816092,22.608695652173914,15567.975325123953,-6160.713980754163,9407.261344369792,2.5269758300349148,20.31805905911402,10.198632799337243,2.031805905911402,1.0198632799337244,113.70881929445643,4.283333333333333,107,22,2201.344721708901,-3053.664966816911,Final Hedge Close,Final Close,s0.40_tp0.80_sl6.00,0.4,0.008,0.06,0.0,2022-04 (-36.0841%),2024-03-13 11:46:00,2024-11-06 05:03:00,2024-12-05 14:29:00,237.7201388888889,267.11319444444445
6,2022-01-01 03:20:00,2026-02-12,3947.072386609095,294.70723866090947,39.63672415735269,55.982941587839186,1482.076578655698,0.7080143170962406,68.0241824944256,0.8283044525264232,1.0167372674574369,815,700,115,88.95705521472392,99.85714285714286,22.608695652173914,20146.260063194095,-7216.8008064057685,12929.459256788325,2.791577681527789,15.864367186243344,9.213441053843356,1.586436718624334,0.9213441053843356,60.72703476482617,2.45,197,22,2249.9646892038163,-3314.6700225136465,Final Hedge Close,Final Close,s0.40_tp0.60_sl6.00,0.4,0.006,0.06,0.0,2024-06 (-32.2785%),2024-03-13 11:46:00,2024-11-06 05:03:00,2024-12-06 14:27:00,237.7201388888889,268.1118055555556
7,2022-01-01 03:20:00,2026-02-12,3521.311375265212,252.1311375265212,35.814227663407316,37.909747271873194,1367.363064350919,0.944723461397997,54.239155031266066,0.8295795634891435,1.0647947292146567,571,456,115,84.23817863397548,99.78070175438597,22.608695652173914,12683.819553207755,-4450.145390311902,8233.674162895853,2.8502034070214437,14.419744593512878,8.043987395090275,1.441974459351288,0.8043987395090275,88.38388791593695,4.0,126,22,1424.8652369499664,-1922.703758533962,Final Hedge Close,Final Close,s0.30_tp0.80_sl8.00,0.3,0.008,0.08,0.0,2025-06 (-24.0476%),2024-03-13 11:46:00,2024-05-20 13:39:00,2024-11-12 09:01:00,68.07847222222222,243.88541666666666
8,2022-01-01 03:20:00,2026-02-12,3423.6097449490217,242.36097449490214,34.8880938855608,39.23224981134028,897.8785730526745,0.8892707926088964,46.99921926831928,0.8685537441274428,1.049162562059721,636,521,115,85.84905660377359,99.80806142034548,22.608695652173914,11491.460870487275,-4710.539935916424,6780.9209345708505,2.4395209523367813,10.661825368822091,5.48414771319655,1.0661825368822093,0.548414771319655,81.8192610062893,2.8,171,22,1488.056445176712,-2338.6297117838967,Final Hedge Close,Final Close,s0.30_tp0.60_sl4.00,0.3,0.006,0.04,0.0,2022-04 (-26.3463%),2022-02-24 07:34:00,2023-01-06 13:29:00,2024-01-11 11:44:00,316.24652777777777,686.1736111111111
9,2022-01-01 03:20:00,2026-02-12,3062.527958935622,206.25279589356217,31.281306853491287,56.62460898081403,1988.741738213424,0.5524330748860491,70.81361625809052,0.7355748016868877,0.92308408859346,766,651,115,88.25065274151436,99.84639016897081,22.608695652173914,16514.922185198033,-5901.921184128856,10613.001001069179,2.7982281819704937,13.855092690690833,7.59647714401516,1.3855092690690833,0.759647714401516,64.45752828546561,2.533333333333333,164,22,1718.1748032523842,-2410.8132843365147,Final Hedge Close,Final Close,s0.40_tp0.60_sl8.00,0.4,0.006,0.08,0.0,2025-01 (-38.0653%),2024-03-13 11:46:00,2024-11-06 05:03:00,2024-12-06 14:27:00,237.7201388888889,268.1118055555556
10,2022-01-01 03:20:00,2026-02-12,3056.167258222512,205.61672582225123,31.214949402710058,43.677749400997655,854.4488968074702,0.7146647854066644,49.153476904449356,0.7970159970265243,0.9617940162390491,815,700,115,88.95705521472392,99.85714285714286,22.608695652173914,12363.371958136195,-4395.156263878993,7968.215694257204,2.812953901034856,9.776951772094728,5.351287540034097,0.9776951772094731,0.5351287540034098,60.72703476482617,2.45,197,22,1299.6353335779918,-1914.6355056509326,Final Hedge Close,Final Close,s0.30_tp0.60_sl6.00,0.3,0.006,0.06,0.0,2024-06 (-23.8460%),2024-03-13 11:46:00,2024-11-06 05:03:00,2024-12-06 01:27:00,237.7201388888889,267.5701388888889
