episode_id,peak_idx,trough_idx,recovery_idx,peak_time,trough_time,recovery_time,peak_equity,trough_equity,recovery_equity,depth_pct,days_to_trough,days_to_recovery,recovered,btc_peak_to_trough_pct,btc_peak_to_recovery_pct,bullish_4h_share_pct,bearish_4h_share_pct,long_share_pct,short_share_pct,flat_share_pct,short_gate_open_share_pct,avg_bearish_ob_above_count,avg_bullish_ob_below_count,side_change_count,episode_label
U1,39,40,41.0,2021-01-02 09:45:00,2021-01-02 10:00:00,2021-01-02 10:15:00,1000.0,998.824,1001.0011905960715,0.11760000000000659,0.010416666666666666,0.020833333333333332,True,-0.3087247286158612,-0.2348992500338043,100.0,0.0,50.0,0.0,50.0,0.0,0.0,2.0,1,혼합형 추세/휩쏘
U2,42,46,49.0,2021-01-02 10:30:00,2021-01-02 11:30:00,2021-01-02 12:15:00,1009.4130633536207,996.2677803137943,1019.6933614954352,1.3022699543983718,0.041666666666666664,0.07291666666666667,True,-0.4455138535925274,0.3484151103756217,100.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,0,혼합형 추세/휩쏘
U3,51,52,55.0,2021-01-02 12:45:00,2021-01-02 13:00:00,2021-01-02 13:45:00,1117.5115660806632,1092.8034217115185,1156.0903938109623,2.21099674661992,0.010416666666666666,0.041666666666666664,True,-0.8078021646651945,1.261286970206421,100.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0,혼합형 추세/휩쏘
U4,56,58,63.0,2021-01-02 14:00:00,2021-01-02 14:30:00,2021-01-02 15:45:00,1178.407587052785,1146.2465234204515,1192.8611637144327,2.729196925214028,0.020833333333333332,0.07291666666666667,True,-1.0309409167881145,0.46331749922119414,100.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0,혼합형 추세/휩쏘
U5,67,68,69.0,2021-01-02 16:45:00,2021-01-02 17:00:00,2021-01-02 17:15:00,1303.0240389793862,1288.5427526192432,1304.144302504274,1.1113598772502842,0.010416666666666666,0.020833333333333332,True,-0.44637464355308243,0.03453127154391389,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,혼합형 추세/휩쏘
U6,69,70,72.0,2021-01-02 17:15:00,2021-01-02 17:30:00,2021-01-02 18:00:00,1304.144302504274,1283.8449690921743,1314.7422725466972,1.5565251002607638,0.010416666666666666,0.03125,True,-0.6254955295609932,0.32656160423503167,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,혼합형 추세/휩쏘
U7,72,73,77.0,2021-01-02 18:00:00,2021-01-02 18:15:00,2021-01-02 19:15:00,1314.7422725466972,1293.488933800682,1326.2724760170745,1.6165403052605054,0.010416666666666666,0.052083333333333336,True,-0.6527602036334734,0.3541306170857572,100.0,0.0,100.0,0.0,0.0,0.0,0.0,4.0,0,혼합형 추세/휩쏘
U8,79,84,116.0,2021-01-02 19:45:00,2021-01-02 21:00:00,2021-01-03 05:00:00,1347.5693585750107,1098.3691125807486,1351.7188859247053,18.49257289864318,0.052083333333333336,0.3854166666666667,True,-7.577365190178142,0.1261735676456377,100.0,0.0,100.0,0.0,0.0,0.0,0.3333333333333333,4.166666666666667,0,혼합형 추세/휩쏘
U9,118,120,123.0,2021-01-03 05:30:00,2021-01-03 06:00:00,2021-01-03 06:45:00,1434.6480757290715,1395.4249975087528,1436.93016732659,2.7339860474413613,0.020833333333333332,0.052083333333333336,True,-1.1618815832945217,0.067601022634034,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
U10,123,124,126.0,2021-01-03 06:45:00,2021-01-03 07:00:00,2021-01-03 07:30:00,1436.93016732659,1414.6723520101143,1479.7663923042978,1.5489837865876543,0.010416666666666666,0.03125,True,-0.6588844226317003,1.268054432155652,100.0,0.0,100.0,0.0,0.0,0.0,0.0,5.0,0,혼합형 추세/휩쏘
