variant,window_id,peak_time,trough_time,window_return_pct,window_mdd_pct
combo_base,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_base,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738763,57.07666220738763
combo_base,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.33051320899981,42.33051320899981
combo_base,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584676,38.21942800584676
combo_posttrim_same_regime_2p0,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_posttrim_same_regime_2p0,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738763,57.07666220738763
combo_posttrim_same_regime_2p0,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.33051320899983,42.33051320899983
combo_posttrim_same_regime_2p0,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584672,38.21942800584672
combo_posttrim_wait32_2p0,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_posttrim_wait32_2p0,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738762,57.07666220738762
combo_posttrim_wait32_2p0,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.330513208999854,42.330513208999854
combo_posttrim_wait32_2p0,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584672,38.21942800584672
combo_posttrim_confirm32_2p0,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_posttrim_confirm32_2p0,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738763,57.07666220738763
combo_posttrim_confirm32_2p0,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.33051320899983,42.33051320899983
combo_posttrim_confirm32_2p0,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584672,38.21942800584672
combo_posttrim_stage16_64,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_posttrim_stage16_64,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738763,57.07666220738763
combo_posttrim_stage16_64,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.33051320899982,42.33051320899982
combo_posttrim_stage16_64,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584674,38.21942800584674
combo_posttrim_stage16_96_strict,W1,2022-07-05 13:00:00,2022-11-08 05:30:00,-63.97840034221949,63.97840034221949
combo_posttrim_stage16_96_strict,W2,2024-07-08 01:15:00,2024-10-13 15:30:00,-57.07666220738763,57.07666220738763
combo_posttrim_stage16_96_strict,W3,2024-12-17 15:00:00,2025-02-21 13:45:00,-42.33051320899982,42.33051320899982
combo_posttrim_stage16_96_strict,W4,2025-07-14 07:45:00,2025-10-13 20:00:00,-38.21942800584674,38.21942800584674
