study,source_file,symbol,case,final_equity,mdd_pct,mdd_column,equity_rank,mdd_rank,rank_sum,combined_rank
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_daily_dca.csv,BTCUSDT,entry_scale=0.2,3091849.198221888,30.695839883559817,strategy_nav_max_drawdown_pct,7,3,10,1
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_monthly_dca.csv,BTCUSDT,entry_scale=0.2,104594.43564941388,30.603480915334003,strategy_nav_max_drawdown_pct,17,2,19,2
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_daily_dca.csv,BTCUSDT,entry_scale=0.3,4638959.640444471,44.28905479872572,strategy_nav_max_drawdown_pct,6,16,22,3
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_monthly_dca.csv,BTCUSDT,entry_scale=0.3,158739.42237430468,44.203705990055234,strategy_nav_max_drawdown_pct,14,15,29,4
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_daily_dca.csv,BTCUSDT,entry_scale=0.4,7068301.762964328,56.60897812988989,strategy_nav_max_drawdown_pct,5,38,43,5
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_monthly_dca.csv,BTCUSDT,entry_scale=0.4,244742.8439567605,56.54039473615542,strategy_nav_max_drawdown_pct,12,37,49,6
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_daily_dca.csv,BTCUSDT,entry_scale=0.5,10800761.755920917,67.60557709024897,strategy_nav_max_drawdown_pct,4,57,61,7
16,16_backtest_btcusdt_best_hyst_fixed5x_scale_monthly_dca.csv,BTCUSDT,entry_scale=0.5,378205.7350375118,67.55446668872351,strategy_nav_max_drawdown_pct,11,56,67,8
22,22_backtest_btcusdt_dd_scale_entryscale_sweep.csv,BTCUSDT,mode=dd_scaled_es0.4 ; entry_scale=0.4,12244.501536203152,42.57260555696213,max_drawdown_pct,63,12,75,9
22,22_backtest_btcusdt_dd_scale_entryscale_sweep.csv,BTCUSDT,mode=dd_scaled_es0.5 ; entry_scale=0.5,17790.390405424907,51.49498110833981,max_drawdown_pct,53,24,77,10
8,08_backtest_btcusdt_hysteresis_sweep.csv,BTCUSDT,mode=hyst_0.50pct ; band_label=0.50%,39367.8799229618,67.81498388466947,max_drawdown_pct,21,58,79,11
14,14_backtest_btcusdt_best_hyst_fixed5x_sl_sweep.csv,BTCUSDT,sl_label=3.00%,39367.8799229618,67.81498388466947,max_drawdown_pct,21,58,79,11
15,15_backtest_btcusdt_best_hyst_fixed5x_scale_sweep.csv,BTCUSDT,scale_label=0.5 ; entry_scale=0.5,39367.8799229618,67.81498388466947,max_drawdown_pct,21,58,79,11
15,15_backtest_btcusdt_best_hyst_fixed5x_scale_sweep.csv,BTCUSDT,scale_label=0.4 ; entry_scale=0.4,21137.68615546548,56.86373123277352,max_drawdown_pct,40,40,80,14
9,09_backtest_btcusdt_triple_compare.csv,BTCUSDT,strategy=08_best_hysteresis_fixed5x,39367.8799229618,67.81498388466949,max_drawdown_pct,21,61,82,15
15,15_backtest_btcusdt_best_hyst_fixed5x_scale_sweep.csv,BTCUSDT,scale_label=0.3 ; entry_scale=0.3,10766.57794370915,44.57872323294422,max_drawdown_pct,64,18,82,15
12,12_backtest_ethusdt_scale_tpsl_sweep.csv,ETHUSDT,s0.30_tp0.80_sl4.00,5906.51826980534,39.42868539214774,max_drawdown_pct,76,7,83,17
1,001_backtest_btcusdt.md,BTCUSDT,single_run,6041.7178,40.7136,md_report_mdd,75,9,84,18
15,15_backtest_btcusdt_best_hyst_fixed5x_scale_sweep.csv,BTCUSDT,scale_label=0.2 ; entry_scale=0.2,5189.960860351712,30.984767227319026,max_drawdown_pct,81,4,85,19
3,03_backtest_btcusdt_scale_metrics.csv,BTCUSDT,entry_scale=0.3,6505.156294776667,42.57609183431293,max_drawdown_pct,74,13,87,20
17,17_backtest_btcusdt_hysteresis_sweep_nolookahead_raw.csv,BTCUSDT,mode=hyst_0.50pct ; band_label=0.50%,27950.29873271394,68.13628282936308,max_drawdown_pct,26,63,89,21
18,18_backtest_btcusdt_hys05_longsl_compare.csv,BTCUSDT,mode=case_17_baseline ; long_sl_enabled=on,27950.29873271394,68.13628282936308,max_drawdown_pct,26,63,89,21
20,20_backtest_btcusdt_hys05_diagnostics_metrics.csv,BTCUSDT,row_1,27950.29873271394,68.13628282936308,max_drawdown_pct,26,63,89,21
21,21_backtest_btcusdt_dd_scale_compare.csv,BTCUSDT,mode=baseline_hys05,27950.29873271394,68.13628282936308,max_drawdown_pct,26,63,89,21
22,22_backtest_btcusdt_dd_scale_entryscale_sweep.csv,BTCUSDT,mode=baseline_es0.5 ; entry_scale=0.5,27950.29873271394,68.13628282936308,max_drawdown_pct,26,63,89,21
21,21_backtest_btcusdt_dd_scale_compare.csv,BTCUSDT,mode=dd_scaled_hys05,19794.632565686763,57.46228414034953,max_drawdown_pct,47,42,89,21
