side,entry_scale,trades,win_rate_pct,net_pnl,avg_pnl,median_pnl
LONG,0.4,26,100.0,4770.214650271884,183.4697942412263,107.46766774352123
LONG,0.44,25,100.0,5244.35161284975,209.77406451399003,56.58696020264652
LONG,0.48,25,100.0,4748.1334790737355,189.92533916294943,115.52214716658838
LONG,0.52,23,100.0,6932.356819055043,301.4068182197845,130.6932196894853
LONG,0.56,22,95.45454545454545,-33265.03971890037,-1512.047259950017,148.5170873916532
LONG,0.6,423,100.0,137440.46947475642,324.9183675526157,175.55844201086623
SHORT,0.4,1,0.0,-289.1926562772995,-289.1926562772995,-289.1926562772995
SHORT,0.48,4,25.0,-1213.1355437890834,-303.28388594727085,-563.7073463989013
SHORT,0.52,1,0.0,-170.98580597265314,-170.98580597265314,-170.98580597265314
SHORT,0.56,14,35.714285714285715,30510.623637855373,2179.330259846812,-940.5494309714601
SHORT,0.6,46,23.91304347826087,-30833.752764490768,-670.2989731411036,-322.9469686888828
