curve,variant,variant_label,initial_capital,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_trades,short_trades,win_rate_pct,profit_factor,case1_off_ratio_1m_pct,case1_off_ratio_4h_pct
total_r1_bear_only_plus_case2,r1_bear_only,R1 bear_only,2000.0,16957.767743076576,747.8883871538288,68.12028626517332,87.49291667126303,0.7785805852275052,1854,1166,688,,,50.48013378260512,50.499334221038616
case1_r1_bear_only,r1_bear_only,R1 bear_only,1000.0,0.0,-100.0,-99.9774906209129,100.0,-0.999774906209129,475,475,0,100.0,inf,50.48013378260512,50.499334221038616
total_r2_bear_mature_plus_case2,r2_bear_mature,R2 bear_mature,2000.0,44442.75925634021,2122.1379628170107,112.47822081787682,64.31973698754166,1.7487357082890926,1924,1172,752,,,43.76510534547711,43.78606302707501
case1_r2_bear_mature,r2_bear_mature,R2 bear_mature,1000.0,27484.99151326363,2648.499151326363,123.84797816864092,76.83889295167448,1.611787643095423,545,481,64,91.19266055045871,2.1960733239653454,43.76510534547711,43.78606302707501
total_r3_bear_chop_plus_case2,r3_bear_chop,R3 bear_chop,2000.0,36427.68005290879,1721.3840026454395,102.45265935644707,83.16305043494717,1.231949270987707,1969,1229,740,,,5.693946392614579,5.703506435863293
case1_r3_bear_chop,r3_bear_chop,R3 bear_chop,1000.0,19469.91230983222,1846.991230983222,105.84583154887403,91.08552846196824,1.1620488274717404,590,538,52,93.38983050847457,2.3031151199954185,5.693946392614579,5.703506435863293
total_r4_bear_highvol_p80_plus_case2,r4_bear_highvol_p80,R4 bear_highvol(P80),2000.0,16957.767743076576,747.8883871538288,68.12028626517332,87.79286310558332,0.7759205458791001,1909,1170,739,,,31.905819413831665,31.924101198402134
case1_r4_bear_highvol_p80,r4_bear_highvol_p80,R4 bear_highvol(P80),1000.0,0.0,-100.0,-99.9774906209129,100.0,-0.999774906209129,530,479,51,92.83018867924528,3.4541201959601917,31.905819413831665,31.924101198402134
total_r5_risk_or_crash_plus_case2,r5_risk_or_crash,R5 risk_or_crash,2000.0,33459.523262957584,1572.976163147879,98.31363834797702,68.02376945661476,1.4452835991495736,1905,1167,738,,,23.33962597476592,23.357745228584108
case1_r5_risk_or_crash,r5_risk_or_crash,R5 risk_or_crash,1000.0,16501.755519881008,1550.1755519881008,97.73057353801715,83.76046614517617,1.1667864093381186,526,476,50,92.20532319391636,2.2314963634092595,23.33962597476592,23.357745228584108
case2_study42_fixed,case2,Case2 fixed,1000.0,16957.767743076576,1595.7767743076577,99.04564077331442,74.0773722007741,1.3370566183809556,1379,691,688,99.63741841914431,10373.625471124225,,
