window_id,window_group,window_rank,anchor_timestamp,start_timestamp,end_timestamp,anchor_index,start_index,end_index,bars_in_window,horizon_bars,selection_metric_total_return,selection_metric_case1_return,selection_metric_case2_return
global_mdd_episode,global_mdd_episode,1,2024-12-17 18:08:00,2024-12-17 18:08:00,2025-04-16 17:59:00,1557232,1557232,1728584,171353,171352,-0.6473926177164875,-0.7683889295167448,0.029083653808392285
worst_forward_4h_01,worst_forward_4h,1,2025-10-10 17:19:00,2025-10-10 17:19:00,2025-10-10 21:19:00,1983382,1983382,1983622,241,240,-0.38619234977005445,-0.407944160195179,-0.3162202232216166
worst_forward_4h_02,worst_forward_4h,2,2023-03-13 11:31:00,2023-03-13 11:31:00,2023-03-13 15:31:00,628228,628228,628468,241,240,-0.25584440386421625,-0.2129132336816344,-0.3622772668623615
worst_forward_4h_03,worst_forward_4h,3,2024-12-05 18:28:00,2024-12-05 18:28:00,2024-12-05 22:28:00,1539972,1539972,1540212,241,240,-0.2397645058629484,-0.24776171137206748,-0.19525960891356753
worst_forward_4h_04,worst_forward_4h,4,2024-01-03 08:09:00,2024-01-03 08:09:00,2024-01-03 12:09:00,1054107,1054107,1054347,241,240,-0.2327126681519499,-0.24292432311416712,-0.19910370456595916
worst_forward_4h_05,worst_forward_4h,5,2024-03-05 15:56:00,2024-03-05 15:56:00,2024-03-05 19:56:00,1143854,1143854,1144094,241,240,-0.22439956694600194,-0.23032132984304599,-0.20460453571312243
worst_forward_1d_01,worst_forward_1d,1,2025-10-09 21:19:00,2025-10-09 21:19:00,2025-10-10 21:19:00,1982182,1982182,1983622,1441,1440,-0.4256520533917846,-0.44581090624150643,-0.36090013392534903
worst_forward_1d_02,worst_forward_1d,2,2023-03-12 15:31:00,2023-03-12 15:31:00,2023-03-13 15:31:00,627028,627028,628468,1441,1440,-0.3320774028073872,-0.2591614974085781,-0.4866701122099616
worst_forward_1d_03,worst_forward_1d,3,2024-12-19 12:10:00,2024-12-19 12:10:00,2024-12-20 12:10:00,1559754,1559754,1561194,1441,1440,-0.30271943583015937,-0.3129201473051859,-0.247885690816391
worst_forward_1d_04,worst_forward_1d,4,2025-01-07 07:02:00,2025-01-07 07:02:00,2025-01-08 07:02:00,1585367,1585367,1586807,1441,1440,-0.2883426333841841,-0.3329482450714436,-0.10498700115546067
worst_forward_1d_05,worst_forward_1d,5,2024-08-26 22:15:00,2024-08-26 22:15:00,2024-08-27 22:15:00,1394773,1394773,1396213,1441,1440,-0.2673259362608882,-0.2819099740509192,-0.1855451414731093
worst_forward_7d_01,worst_forward_7d,1,2024-12-17 20:58:00,2024-12-17 20:58:00,2024-12-24 20:58:00,1557402,1557402,1567482,10081,10080,-0.4437604500562756,-0.4753948774610468,-0.26689605490073165
worst_forward_7d_02,worst_forward_7d,2,2025-10-03 21:19:00,2025-10-03 21:19:00,2025-10-10 21:19:00,1973542,1973542,1983622,10081,10080,-0.4266111262896445,-0.44833836667469174,-0.35595970387953113
worst_forward_7d_03,worst_forward_7d,3,2022-03-03 13:33:00,2022-03-03 13:33:00,2022-03-10 13:33:00,88453,88453,98533,10081,10080,-0.4114952429758706,-0.40026692883148707,-0.427708585984633
worst_forward_7d_04,worst_forward_7d,4,2023-03-07 21:16:00,2023-03-07 21:16:00,2023-03-14 21:16:00,620173,620173,630253,10081,10080,-0.32801974960126257,-0.3056211267518101,-0.3802138048669762
worst_forward_7d_05,worst_forward_7d,5,2024-09-28 03:02:00,2024-09-28 03:02:00,2024-10-05 03:02:00,1441140,1441140,1451220,10081,10080,-0.3051889586653428,-0.34197260454324097,-0.13749383955756922
