window_id,window_group,window_rank,start_timestamp,end_timestamp,bars_in_window,horizon_bars,selection_metric_total_return_pct,selection_metric_case1_return_pct,selection_metric_case2_return_pct,start_equity_total,end_equity_total,start_equity_case1,end_equity_case1,start_equity_case2,end_equity_case2,total_return_pct,case1_return_pct,case2_return_pct,total_pnl,case1_pnl,case2_pnl,case1_loss_contribution_share,corr_case1_case2,both_loss_rate,offset_rate,case1_loss_rate,case2_loss_rate,daily_worst_date,daily_worst_total_return_pct,daily_worst_case1_return_pct,daily_worst_case2_return_pct
global_mdd_episode,global_mdd_episode,1,2024-12-17 18:08:00,2025-04-16 17:59:00,171353,171352,-64.73926177164874,-76.83889295167448,2.9083653808392285,66019.56935374075,23278.987529307327,56002.7680674361,12970.861062124342,10016.80128630464,10308.126467182983,-64.73926177164874,-76.83889295167448,2.9083653808392285,-42740.58182443342,-43031.90700531176,291.3251808783425,1.0068161257625134,0.3750695755828193,0.201677239383028,0.06921384510338308,0.2946957450409389,0.44098440062327476,2025-01-07,-22.918148896309955,-26.241706714795697,-9.105598918893133
worst_forward_4h_01,worst_forward_4h,1,2025-10-10 17:19:00,2025-10-10 21:19:00,241,240,-38.61923497700545,-40.7944160195179,-31.62202232216166,47331.20150652721,29052.253579281525,36106.87603235916,21377.28681206697,11224.325474168052,7674.966767214553,-38.61923497700545,-40.7944160195179,-31.62202232216166,-18278.94792724569,-14729.589220292193,-3549.3587069534988,0.8058225932323491,0.9998390389213545,0.5269709543568465,0.0,0.5269709543568465,0.5269709543568465,2025-10-10,-38.61923497700545,-40.7944160195179,-31.62202232216166
worst_forward_4h_02,worst_forward_4h,2,2023-03-13 11:31:00,2023-03-13 15:31:00,241,240,-25.584440386421626,-21.29132336816344,-36.22772668623615,5179.611391846955,3854.436803051567,3690.854203066687,2905.022499644307,1488.7571887802678,949.4143034072596,-25.584440386421626,-21.29132336816344,-36.22772668623615,-1325.1745887953875,-785.8317034223801,-539.3428853730082,0.593002393848133,0.791123218408953,0.2033195020746888,0.06224066390041494,0.26556016597510373,0.5477178423236515,2023-03-13,-25.584440386421626,-21.29132336816344,-36.22772668623615
worst_forward_4h_03,worst_forward_4h,3,2024-12-05 18:28:00,2024-12-05 22:28:00,241,240,-23.97645058629484,-24.77617113720675,-19.525960891356753,57666.645170889606,43840.23048671728,48882.76812867834,36771.48984051304,8783.877042211267,7068.740646204231,-23.97645058629484,-24.77617113720675,-19.525960891356753,-13826.414684172327,-12111.278288165304,-1715.1363960070357,0.87595219475296,0.9968349634787468,0.5352697095435685,0.0,0.5352697095435685,0.5352697095435685,2024-12-05,-23.97645058629484,-24.77617113720675,-19.525960891356753
worst_forward_4h_04,worst_forward_4h,4,2024-01-03 08:09:00,2024-01-03 12:09:00,241,240,-23.27126681519499,-24.29243231141671,-19.910370456595917,13498.692189682944,10357.37551365994,10353.049986331274,7838.042326234612,3145.6422033516706,2519.3331874253267,-23.27126681519499,-24.29243231141671,-19.910370456595917,-3141.316676023005,-2515.007660096662,-626.3090159263438,0.8006221337992362,0.9943381572739901,0.5311203319502075,0.0,0.5311203319502075,0.5311203319502075,2024-01-03,-23.27126681519499,-24.29243231141671,-19.910370456595917
worst_forward_4h_05,worst_forward_4h,5,2024-03-05 15:56:00,2024-03-05 19:56:00,241,240,-22.439956694600195,-23.0321329843046,-20.460453571312243,26036.22275136469,20193.70564104881,20040.90556333273,15425.057542727038,5995.31718803196,4768.648098321778,-22.439956694600195,-23.0321329843046,-20.460453571312243,-5842.517110315879,-4615.848020605692,-1226.6690897101817,0.7900444163793187,0.99311938180149,0.5684647302904564,0.0,0.5684647302904564,0.5684647302904564,2024-03-05,-22.439956694600195,-23.0321329843046,-20.460453571312243
worst_forward_1d_01,worst_forward_1d,1,2025-10-09 21:19:00,2025-10-10 21:19:00,1441,1440,-42.565205339178455,-44.58109062415064,-36.0900133925349,50583.01984162776,29052.253579281525,38573.99406236391,21377.28681206697,12009.025779263844,7674.966767214553,-42.565205339178455,-44.58109062415064,-36.0900133925349,-21530.76626234624,-17196.707250296942,-4334.059012049291,0.7987039123810075,0.9939013184276546,0.5135322692574601,0.0,0.5135322692574601,0.5135322692574601,2025-10-10,-42.73755743741711,-44.70331686370999,-36.444519144282
worst_forward_1d_02,worst_forward_1d,2,2023-03-12 15:31:00,2023-03-13 15:31:00,1441,1440,-33.20774028073872,-25.916149740857808,-48.66701122099616,5770.783649561178,3854.436803051567,3921.262852136681,2905.022499644307,1849.5207974244972,949.4143034072596,-33.20774028073872,-25.916149740857808,-48.66701122099616,-1916.3468465096112,-1016.2403524923739,-900.1064940172377,0.5303008452479936,0.4426469035252072,0.03469812630117974,0.09021512838306732,0.12491325468424705,0.5052047189451769,2023-03-13,-28.780690674077235,-25.916149740857808,-36.315293575545546
worst_forward_1d_03,worst_forward_1d,3,2024-12-19 12:10:00,2024-12-20 12:10:00,1441,1440,-30.271943583015936,-31.29201473051859,-24.7885690816391,56950.041662547774,39710.15717995724,48017.3777355342,32991.77282132208,8932.663927013578,6718.384358635161,-30.271943583015936,-31.29201473051859,-24.7885690816391,-17239.884482590533,-15025.60491421212,-2214.279568378417,0.8715606493410978,0.9883698651489662,0.5378209576682859,0.0006939625260235947,0.5385149201943095,0.5426786953504511,2024-12-20,-18.000094989444083,-18.661951133728994,-14.587112455569763
worst_forward_1d_04,worst_forward_1d,4,2025-01-07 07:02:00,2025-01-08 07:02:00,1441,1440,-28.83426333841841,-33.29482450714436,-10.498700115546066,37734.72129630707,26854.192387711635,30351.096359208612,20245.752090415823,7383.624937098456,6608.440297295812,-28.83426333841841,-33.29482450714436,-10.498700115546066,-10880.528908595435,-10105.344268792789,-775.1846398026437,0.9287548752165656,0.9044001621300367,0.5329632199861207,0.0,0.5329632199861207,0.5329632199861207,2025-01-07,-21.973359388561285,-25.177869111403716,-8.800915743254523
worst_forward_1d_05,worst_forward_1d,5,2024-08-26 22:15:00,2024-08-27 22:15:00,1441,1440,-26.732593626088818,-28.19099740509192,-18.55451414731093,28518.325790704424,20894.63764811133,24202.307904156278,17379.435910923225,4316.017886548149,3515.201737188103,-26.732593626088818,-28.19099740509192,-18.55451414731093,-7623.688142593095,-6822.871993233053,-800.8161493600464,0.8949568588875075,0.9916734517728386,0.5170020818875781,0.0,0.5170020818875781,0.5170020818875781,2024-08-27,-25.34124303633474,-26.756922781724658,-17.452902200007436
worst_forward_7d_01,worst_forward_7d,1,2024-12-17 20:58:00,2024-12-24 20:58:00,10081,10080,-44.37604500562756,-47.53948774610468,-26.689605490073166,64895.40330188509,36097.38992605705,55049.16580544573,28879.074373033007,9846.237496439358,7218.315553024037,-44.37604500562756,-47.53948774610468,-26.689605490073166,-28798.013375828043,-26170.091432412722,-2627.921943415321,0.9087464156252841,0.797687238752199,0.36990377938696556,0.04235690903680191,0.4205931951195318,0.49399861124888406,2024-12-18,-17.320932199858795,-18.07668006192218,-13.08910228679313
worst_forward_7d_02,worst_forward_7d,2,2025-10-03 21:19:00,2025-10-10 21:19:00,10081,10080,-42.661112628964446,-44.83383666746917,-35.595970387953116,50667.62700030542,29052.253579281525,38750.72240062966,21377.28681206697,11916.90459967576,7674.966767214553,-42.661112628964446,-44.83383666746917,-35.595970387953116,-21615.373421023898,-17373.43558856269,-4241.937832461206,0.8037536641242874,0.9885020820024313,0.4772344013490725,9.919650828290844e-05,0.47782958039876994,0.47991270707271105,2025-10-10,-42.73755743741711,-44.70331686370999,-36.444519144282
worst_forward_7d_03,worst_forward_7d,3,2022-03-03 13:33:00,2022-03-10 13:33:00,10081,10080,-41.14952429758706,-40.026692883148705,-42.7708585984633,2277.346551360168,1340.229278867955,1345.5237262444973,806.9550766707139,931.8228251156704,533.274202197241,-41.14952429758706,-40.026692883148705,-42.7708585984633,-937.1172724922133,-538.5686495737834,-398.5486229184294,0.5747078464806106,0.33856827146706026,0.19710346195813908,0.07975399265945839,0.2904473762523559,0.4679099295704791,2022-03-10,-20.253244739887975,-24.13468520183628,-13.561227702150013
worst_forward_7d_04,worst_forward_7d,4,2023-03-07 21:16:00,2023-03-14 21:16:00,10081,10080,-32.80197496012626,-30.56211267518101,-38.02138048669762,5604.038548936657,3765.803227358632,3921.262852136681,2722.842080976652,1682.7756967999765,1042.9611463819804,-32.80197496012626,-30.56211267518101,-38.02138048669762,-1838.2353215780254,-1198.4207711600288,-639.8145504179961,0.651940889772072,0.4597887897856519,0.050491022716000394,0.012994742585061007,0.0634857653010614,0.3880567404027378,2023-03-13,-20.10990764384848,-19.861170296132645,-20.764161566377336
worst_forward_7d_05,worst_forward_7d,5,2024-09-28 03:02:00,2024-10-05 03:02:00,10081,10080,-30.51889586653428,-34.197260454324095,-13.749383955756922,29391.7739749444,20421.729082203998,24104.49338278445,15861.416999478335,5287.280592159948,4560.312082725659,-30.51889586653428,-34.197260454324095,-13.749383955756922,-8970.044892740403,-8243.076383306116,-726.9685094342894,0.9189559786905153,0.6211625069941272,0.3125681975994445,0.05108620176569785,0.3645471679396885,0.48388056740402735,2024-10-01,-16.19350567976967,-17.67188746469276,-10.109272273742153
