variant,mode,freq,target_case1_w,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid,avg_case1_weight
rebal_1d_w55,rebalance,1d,0.55,53286.05448657253,2564.3027243286265,122.05918522259158,51.54415872967164,2.368050778803916,1503,121.27947020820602,0.549900373231958
rebal_4h_w55,rebalance,4h,0.55,51123.260022290866,2456.163001114543,119.83421931103186,51.13835778335769,2.3433333510375323,9013,235.8614588641559,0.5499787463753631
rebal_1d_w50,rebalance,1d,0.5,53098.43227384812,2554.921613692406,121.86890643284075,52.08986338842978,2.3395896726408063,1503,119.09393184334374,0.49990943212252764
rebal_4h_w50,rebalance,4h,0.5,50869.13437926914,2443.456718963457,119.56813742596233,51.68462863905374,2.3134177525194546,9013,231.33157800143695,0.49998039103117514
rebal_1d_w45,rebalance,1d,0.45,52530.804587608705,2526.5402293804354,121.29012532804752,52.69624710395087,2.301684313282983,1503,113.99798111926958,0.4499203582664245
rebal_4h_w45,rebalance,4h,0.45,50293.058055770554,2414.6529027885276,118.96121071406705,52.65027417138677,2.259460422310916,9013,221.31754371771768,0.44998243044324615
rebal_7d_w55,rebalance,7d,0.55,47292.34171492596,2264.617085746298,115.71181195718773,51.59844240888627,2.2425446690859774,215,44.56841676537143,0.5496737973350414
rebal_7d_w50,rebalance,7d,0.5,47034.78596996043,2251.7392984980215,115.42570867181605,52.14460128550664,2.213569685571613,215,43.72180888566115,0.49973304582875017
rebal_7d_w45,rebalance,7d,0.45,46553.97470565644,2227.698735282822,114.88841526471698,52.690596234331366,2.180434906330775,215,41.89167390435286,0.44979803791824047
hold_no_rebalance,hold,hold,,37042.70606845888,1752.135303422944,103.27812699266099,50.85360762791464,2.0308908612408727,0,0.0,0.660741152513594
