variant,mode,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,reverse_entries
reference_case1,reference,20072.7821300702,1907.2782130070202,107.29130916120972,61.04205953455899,1.7576620117226993,,,,,,
reference_case2,reference,16969.923938388678,1596.9923938388679,99.00180359816797,74.0773722007741,1.336464842865112,,,,,,
dual_stop6,live,4133.925629208689,313.3925629208689,41.189158377099375,34.01571930469803,1.210886002678491,135.0,68.0,67.0,3.0,131.0,132.0
dual_stop5,live,4116.9905420388395,311.699054203884,41.04836572346458,33.96600279363785,1.2085132882092715,138.0,69.0,69.0,7.0,130.0,132.0
dual_stop4,live,4113.751448313207,311.37514483132077,41.021387057491495,33.96600279363785,1.2077190038144607,139.0,70.0,69.0,17.0,121.0,132.0
dual_band1_stop5,live,3430.1871345265804,243.018713452658,34.9286376475239,37.79085107646001,0.9242617367059249,260.0,121.0,139.0,9.0,250.0,255.0
longflat_stop5,live,2982.0832916174786,198.20832916174786,30.415053119058875,33.75693054398033,0.9010017388705563,69.0,69.0,0.0,4.0,65.0,66.0
longflat_band1_stop5,live,2723.3582282038974,172.33582282038972,27.569914723616694,37.73343141443579,0.7306495510787071,121.0,121.0,0.0,5.0,116.0,119.0
longflat_band2_stop5,live,2119.346961046392,111.9346961046392,20.027414196203107,35.86400480885287,0.5584265980038969,147.0,147.0,0.0,5.0,142.0,146.0
dual_band2_stop5,live,1180.9866335405477,18.098663354054768,4.12583261551267,52.90568729187799,0.07798467096270126,329.0,147.0,182.0,11.0,317.0,323.0
