variant,case3_name,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
regime_hold_case3_w60_24_16,regime_hold_case3,0.6,0.24,0.16,44859.8282419422,2142.9914120971102,112.96409492632495,43.21074510306159,2.6142593620381973,9012,312.0775066758245
regime_hold_case3_w60_22_18,regime_hold_case3,0.6,0.22,0.18,43779.13229600447,2088.9566148002236,111.70566262714337,43.11275053728134,2.59101220022014,9012,314.6023467743312
regime_hold_case3_w62_24_14,regime_hold_case3,0.62,0.24,0.14,45501.41928279493,2175.070964139746,113.70038481113171,43.95035180122616,2.587018764385854,9012,302.39212887186306
regime_hold_case3_w60_26_14,regime_hold_case3,0.6,0.26,0.14,45883.60266980198,2194.1801334900993,114.13525088513606,44.16990950330222,2.5840046350242827,9012,307.93782046331125
regime_hold_case3_w62_22_16,regime_hold_case3,0.62,0.22,0.16,44447.91294408862,2122.3956472044306,112.48716899398698,43.88939662966753,2.5629691367857634,9012,306.1230116285835
regime_hold_case3_w64_24_12,regime_hold_case3,0.64,0.24,0.12,46100.30593519204,2205.015296759602,114.38060913067596,44.683629234948654,2.559787803476241,9012,290.985904717514
regime_hold_case3_w62_26_12,regime_hold_case3,0.62,0.26,0.12,46494.97925351596,2224.748962675798,114.82523671453752,44.900402129084505,2.557332034230464,9012,297.0553229894595
regime_hold_case3_w60_28_12,regime_hold_case3,0.6,0.28,0.12,46845.1952690369,2242.259763451845,115.21739394507198,45.118993991743665,2.55363393000641,9012,302.1747526218537
regime_hold_case3_w60_20_20,regime_hold_case3,0.6,0.2,0.2,42646.69420766144,2032.334710383072,110.36148929891655,43.49512697064738,2.537329972007987,9012,315.5866319877787
regime_hold_case3_w64_22_14,regime_hold_case3,0.64,0.22,0.14,45076.37081477002,2153.8185407385013,113.21348522619363,44.6742551150746,2.534199729454282,9012,295.9207723906795
regime_hold_case3_w66_24_10,regime_hold_case3,0.66,0.24,0.1,46654.46273988557,2232.7231369942783,115.00409592834777,45.41056880155692,2.5325403086429694,9012,277.8396239962182
regime_hold_case3_w64_26_10,regime_hold_case3,0.64,0.26,0.1,47061.41788544669,2253.0708942723345,115.45840420740716,45.62458054369194,2.5306184261100118,9012,284.46052576355845
regime_hold_case3_w62_28_10,regime_hold_case3,0.62,0.28,0.1,47423.51349404805,2271.175674702403,115.86013973661453,45.840393440570914,2.527468266318867,9012,290.11521230832994
regime_hold_case3_w60_30_10,regime_hold_case3,0.6,0.3,0.1,47739.657088837055,2286.982854441853,116.20899850196923,46.057982278235855,2.5231022453383156,9012,294.7956309707369
