variant,leverage,tp_return_pct,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,survived_to_end,first_liquidation_ts
base_1.5x,1.5,,3629.73447617045,262.973447617045,35.93220678622122,49.87150616786311,0.7204957208486259,140,70,70,9,130,0,0,0,0,1,
tp20_lock_2x,2.0,20.0,3456.091277185645,245.60912771856454,34.3546452479283,50.858316037340046,0.6754971049907592,140,70,70,8,103,28,0,28,4416,1,
base_2x,2.0,,3916.270040388206,291.6270040388206,38.41402252772106,59.857508062779054,0.6417577973248086,140,70,70,9,130,0,0,0,0,1,
tp60_lock_1.5x,1.5,60.0,2949.3676656287544,194.93676656287545,29.37668412445502,49.87150616786311,0.589047461802651,140,70,70,9,125,5,0,5,982,1,
tp40_lock_1.5x,1.5,40.0,2398.0061806943204,139.80061806943206,23.155361300125456,47.25463309914467,0.49001250843580413,140,70,70,9,122,8,0,8,1756,1,
tp50_lock_2x,2.0,50.0,2515.9560546587472,151.59560546587474,24.571577803969724,58.55743595878222,0.41961498828714633,140,70,70,9,120,10,0,10,2127,1,
tp30_lock_1.5x,1.5,30.0,2138.7860928930268,113.87860928930267,19.84567854959065,47.78371385393028,0.4153230661446026,140,70,70,9,118,12,0,12,2556,1,
tp50_lock_1.5x,1.5,50.0,2196.3120716612243,119.63120716612244,20.605529032174875,49.87150616786311,0.4131723826992206,140,70,70,9,125,5,0,5,1171,1,
tp60_lock_2x,2.0,60.0,2504.268106772478,150.4268106772478,24.43352787033295,59.857508062779054,0.40819487247459185,140,70,70,9,123,7,0,7,1446,1,
tp20_lock_1.5x,1.5,20.0,1896.4702346837216,89.64702346837217,16.462732236283117,43.70045377096836,0.3767176497196889,140,70,70,9,111,19,0,19,3657,1,
tp40_lock_2x,2.0,40.0,2155.1380500912983,115.51380500912983,20.063236918733264,59.158353842913094,0.3391446112920661,140,70,70,9,118,12,0,12,2556,1,
tp30_lock_2x,2.0,30.0,1766.7019698415859,76.67019698415858,14.513507198480191,57.843711485481464,0.25090898951259416,140,70,70,9,113,17,0,17,3534,1,
