variant,leverage,tp_return_pct,tp_side,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,survived_to_end,first_liquidation_ts
short_tp20_lock_2x,2.0,20.0,short,8069.824549489606,706.9824549489606,64.41843970798138,52.58417660432634,1.2250536923436657,140,70,70,9,116,14,0,14,2019,1,
short_tp20_lock_1.5x,1.5,20.0,short,4984.032288345448,398.4032288345448,46.593306114697405,47.22245884883364,0.9866768323913363,140,70,70,9,120,10,0,10,1600,1,
short_tp30_lock_1.5x,1.5,30.0,short,4805.486443027009,380.5486443027009,45.3253397697438,47.78371385393028,0.948552050774005,140,70,70,9,124,6,0,6,1110,1,
short_tp30_lock_2x,2.0,30.0,short,4958.085430235073,395.8085430235073,46.41121314539065,63.37253487854252,0.7323553213445017,140,70,70,9,122,8,0,8,1489,1,
base_1.5x,1.5,,none,3629.73447617045,262.973447617045,35.93220678622122,49.87150616786311,0.7204957208486259,140,70,70,9,130,0,0,0,0,1,
base_2x,2.0,,none,3916.270040388206,291.6270040388206,38.41402252772106,59.857508062779054,0.6417577973248086,140,70,70,9,130,0,0,0,0,1,
long_tp30_lock_1.5x,1.5,30.0,long,1615.4921485196444,61.54921485196443,12.099428667082757,50.18897502536345,0.24107742110629282,140,70,70,9,124,6,0,6,1446,1,
long_tp20_lock_2x,2.0,20.0,long,1677.234324325577,67.7234324325577,13.10511720631531,62.53404112835177,0.20956773254773223,140,70,70,8,117,14,0,14,2397,1,
long_tp20_lock_1.5x,1.5,20.0,long,1381.14743156043,38.114743156043,7.9928996815464615,53.82023958183186,0.1485110386659191,140,70,70,9,121,9,0,9,2057,1,
long_tp30_lock_2x,2.0,30.0,long,1395.4745419659694,39.54745419659693,8.258615064947229,64.63473983896482,0.12777362584769858,140,70,70,9,121,9,0,9,2045,1,
