variant,leverage,tp_return_pct,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,survived_to_end,first_liquidation_ts
short_tp15_lock_2x,2.0,15.0,8730.830733284005,773.0830733284005,67.52996590227569,50.85831603734007,1.3278057781680253,140,70,70,9,111,19,0,19,2419,1,
short_tp15_lock_1.5x,1.5,15.0,6179.340981783258,517.9340981783258,54.292978832412864,41.722975116807994,1.3012729480679117,140,70,70,9,116,14,0,14,2019,1,
short_tp20_lock_2x,2.0,20.0,8069.824549489606,706.9824549489606,64.41843970798138,52.58417660432634,1.2250536923436657,140,70,70,9,116,14,0,14,2019,1,
short_tp10_lock_2x,2.0,10.0,7337.886490424435,633.7886490424435,60.73758629577004,50.85831603734006,1.1942508330629085,140,70,70,9,106,24,0,24,2877,1,
short_tp10_lock_1.5x,1.5,10.0,4812.297264713622,381.2297264713622,45.37436066177092,41.02630238797019,1.1059822119157314,140,70,70,9,111,19,0,19,2481,1,
short_tp20_lock_1.5x,1.5,20.0,4984.032288345448,398.4032288345448,46.593306114697405,47.22245884883364,0.9866768323913363,140,70,70,9,120,10,0,10,1600,1,
short_tp30_lock_1.5x,1.5,30.0,4805.486443027009,380.5486443027009,45.3253397697438,47.78371385393028,0.948552050774005,140,70,70,9,124,6,0,6,1110,1,
short_tp25_lock_1.5x,1.5,25.0,4749.43829221142,374.943829221142,44.91990976149993,51.513980677581294,0.8719945376119792,140,70,70,9,122,8,0,8,1474,1,
short_tp25_lock_2x,2.0,25.0,5624.206396127701,462.42063961277006,50.87290015570822,58.37469213180779,0.8714889671852861,140,70,70,9,120,10,0,10,1605,1,
short_tp40_lock_2x,2.0,40.0,5642.849030225206,464.28490302252055,50.991838436580906,59.158353842913094,0.8619549923918226,140,70,70,9,124,6,0,6,1110,1,
short_tp40_lock_1.5x,1.5,40.0,4105.648033180424,310.56480331804244,39.97932516180293,47.25463309914467,0.8460403253565115,140,70,70,9,127,3,0,3,637,1,
short_tp30_lock_2x,2.0,30.0,4958.085430235073,395.8085430235073,46.41121314539065,63.37253487854252,0.7323553213445017,140,70,70,9,122,8,0,8,1489,1,
base_1.5x,1.5,,3629.73447617045,262.973447617045,35.93220678622122,49.87150616786311,0.7204957208486259,140,70,70,9,130,0,0,0,0,1,
base_2x,2.0,,3916.270040388206,291.6270040388206,38.41402252772106,59.857508062779054,0.6417577973248086,140,70,70,9,130,0,0,0,0,1,
