variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,long_sweep_events,short_sweep_events,gated_entries,survived_to_end,first_liquidation_ts
short_gate24h_shorttp15_2x,13399.243803404892,1239.924380340489,85.51516674258855,48.449398382263055,1.7650408384409368,131.0,80.0,51.0,12.0,98.0,20.0,0.0,20.0,33292.0,636.0,630.0,51.0,1.0,
base15m_shorttp15_1.5x,8670.368495823215,767.0368495823216,67.2494593438544,41.68548274062306,1.6132584996627353,155.0,80.0,75.0,8.0,130.0,16.0,0.0,16.0,35257.0,0.0,0.0,0.0,1.0,
base15m_shorttp15_2x,10818.358609121826,981.8358609121826,76.3005414376965,51.52009389686706,1.480986070996589,155.0,80.0,75.0,8.0,127.0,19.0,0.0,19.0,39100.0,0.0,0.0,0.0,1.0,
long_gate8h_shorttp15_1.5x,7460.333376512705,646.0333376512706,61.36913276125819,42.145846806219176,1.456113411208109,127.0,52.0,75.0,11.0,100.0,16.0,0.0,16.0,35257.0,1403.0,1414.0,52.0,1.0,
reference_shorttp15_2x,8730.830733284005,773.0830733284005,67.52996590227569,50.85831603734007,1.3278057781680253,,,,,,,,,,,,,,
reference_shorttp15_15x,6179.340981783258,517.9340981783258,54.292978832412864,41.722975116807994,1.3012729480679117,,,,,,,,,,,,,,
long_gate24h_shorttp15_1.5x,5252.926548724939,425.29265487249387,48.43672542060675,41.274374840752884,1.1735302014261402,116.0,41.0,75.0,10.0,90.0,16.0,0.0,16.0,35257.0,636.0,630.0,41.0,1.0,
both_gate24h_shorttp15_2x,7101.6187193710975,610.1618719371097,59.486711921188416,51.898880656168835,1.1462041409965875,92.0,41.0,51.0,14.0,58.0,20.0,0.0,20.0,33292.0,636.0,630.0,92.0,1.0,
long_gate24h_shorttp15_2x,5733.745809736395,473.3745809736395,51.56493216987484,47.407870411211725,1.0876871650762863,116.0,41.0,75.0,10.0,87.0,19.0,0.0,19.0,39100.0,636.0,630.0,41.0,1.0,
short_gate8h_shorttp15_1.5x,5650.332359925,465.03323599249995,51.036959380067756,49.61163474504002,1.0287296446156762,144.0,80.0,64.0,12.0,117.0,14.0,0.0,14.0,29810.0,1403.0,1414.0,64.0,1.0,
short_gate24h_shorttp15_1.5x,5374.461043004691,437.44610430046913,49.247389473052074,51.31333451462683,0.9597386320511706,132.0,80.0,52.0,14.0,104.0,13.0,0.0,13.0,25589.0,636.0,630.0,52.0,1.0,
both_gate24h_shorttp15_1.5x,3256.1071783151247,225.61071783151246,32.45958377304512,61.77452112832667,0.5254526167125688,93.0,41.0,52.0,16.0,64.0,13.0,0.0,13.0,25589.0,636.0,630.0,93.0,1.0,
