variant,final_equity,total_return_pct,cagr_pct,max_drawdown_pct,calmar_ratio,trades,long_entries,short_entries,stop_exits,signal_exits,tp_exits,liquidations,lock_releases,locked_signal_bars,short_sweep_events,gated_entries,survived_to_end,first_liquidation_ts
short_gate_24h_g12_tp15,17902.17591283763,1690.2175912837627,98.76544796568922,48.449398382263034,2.0385278509845546,133.0,80.0,53.0,11.0,101.0,20.0,0.0,20.0,34001.0,630.0,53.0,1.0,
short_gate_24h_g12_tp10,11905.01448223448,1090.501448223448,80.36485447472543,40.7166347859809,1.9737597396530366,133.0,80.0,53.0,10.0,99.0,23.0,0.0,23.0,40272.0,630.0,53.0,1.0,
short_gate_24h_g8_tp15_body20,13458.931135370349,1245.8931135370349,85.71161129745705,48.449398382263055,1.7690954719643206,132.0,80.0,52.0,12.0,99.0,20.0,0.0,20.0,33323.0,666.0,52.0,1.0,
reference_short_gate24h_shorttp15_2x,13399.243803404892,1239.924380340489,85.51516674258855,48.44939838226304,1.7650408384409373,,,,,,,,,,,,,
short_gate_24h_g8_tp15,13399.243803404892,1239.924380340489,85.51516674258855,48.449398382263055,1.7650408384409368,131.0,80.0,51.0,12.0,98.0,20.0,0.0,20.0,33292.0,630.0,51.0,1.0,
short_gate_24h_g8_tp15_body25,13399.243803404892,1239.924380340489,85.51516674258855,48.449398382263055,1.7650408384409368,131.0,80.0,51.0,12.0,98.0,20.0,0.0,20.0,33292.0,630.0,51.0,1.0,
short_gate_24h_g8_tp15_body10,13364.531064614957,1236.4531064614957,85.40061243939037,48.449398382263055,1.7626764271783995,133.0,80.0,53.0,12.0,100.0,20.0,0.0,20.0,33323.0,731.0,53.0,1.0,
short_gate_24h_g8_tp15_body35,12397.098199509022,1139.7098199509023,82.11279460182546,48.449398382263055,1.6948155672431695,131.0,80.0,51.0,12.0,98.0,20.0,0.0,20.0,33349.0,551.0,51.0,1.0,
short_gate_36h_g12_tp15,11842.497125675523,1084.2497125675523,80.13886534418297,50.63620483231678,1.582639647058169,126.0,80.0,46.0,11.0,97.0,17.0,0.0,17.0,30045.0,478.0,46.0,1.0,
short_gate_12h_g8_tp15,13311.957226895185,1231.1957226895186,85.22668291488395,56.41882683363364,1.5106071447780751,138.0,80.0,58.0,11.0,106.0,20.0,0.0,20.0,35055.0,1074.0,58.0,1.0,
base15m_shorttp15_2x,10818.358609121826,981.8358609121826,76.3005414376965,51.52009389686706,1.480986070996589,155.0,80.0,75.0,8.0,127.0,19.0,0.0,19.0,39100.0,0.0,0.0,1.0,
short_gate_12h_g4_tp10,9034.99968450578,803.499968450578,68.89811942732977,49.247675348716534,1.399012622209494,133.0,80.0,53.0,11.0,97.0,24.0,0.0,24.0,45072.0,1074.0,53.0,1.0,
short_gate_12h_g8_tp10,8656.350095416541,765.635009541654,67.18502941632798,49.050605178988526,1.3697084708978795,138.0,80.0,58.0,11.0,102.0,24.0,0.0,24.0,45445.0,1074.0,58.0,1.0,
short_gate_12h_g8_tp20,9944.799268229966,894.4799268229966,72.80119236460108,54.254634819323535,1.3418428233281912,138.0,80.0,58.0,11.0,112.0,14.0,0.0,14.0,28458.0,1074.0,58.0,1.0,
short_gate_36h_g12_tp10,8697.371099670227,769.7371099670227,67.37334258649493,50.48728106817117,1.3344616933425888,126.0,80.0,46.0,10.0,95.0,20.0,0.0,20.0,36997.0,478.0,46.0,1.0,
reference_shorttp15_2x,8730.830733284005,773.0830733284005,67.52996590227569,50.85831603734007,1.3278057781680253,,,,,,,,,,,,,
short_gate_36h_g8_tp15,9380.668364268613,838.0668364268613,70.41487472624797,53.47629030165078,1.3167494291217563,126.0,80.0,46.0,12.0,96.0,17.0,0.0,17.0,29195.0,478.0,46.0,1.0,
short_gate_12h_g12_tp15,11856.298027682888,1085.6298027682888,80.18883119117635,61.61435813590892,1.3014633864122362,142.0,80.0,62.0,12.0,109.0,20.0,0.0,20.0,34914.0,1074.0,62.0,1.0,
