variant,case3_name,w1,w2,w3,total_final_equity,total_return_pct,total_cagr_pct,total_mdd_pct,total_calmar_ratio,rebalance_count,fee_paid
short_gate_24h_g12_tp15_case3_w62_31_7,short_gate_24h_g12_tp15_case3,0.62,0.31,0.07,51919.09958638856,2495.9549793194283,120.68367651232079,46.712718806169704,2.583529274180915,9016,248.4121739861097
short_gate_24h_g12_tp15_case3_w61_32_7,short_gate_24h_g12_tp15_case3,0.61,0.32,0.07,52062.195008977265,2503.109750448863,120.8313640514349,46.81924883021116,2.580805268568636,9016,250.86307325815764
short_gate_24h_g12_tp15_case3_w60_33_7,short_gate_24h_g12_tp15_case3,0.6,0.33,0.07,52192.39201978303,2509.6196009891514,120.9654725274536,46.92621230158084,2.577780447099468,9016,253.0516471270061
short_gate_24h_g12_tp15_case3_w59_34_7,short_gate_24h_g12_tp15_case3,0.59,0.34,0.07,52309.58903568747,2515.479451784374,121.08597406535053,47.03360648398094,2.574456502853782,9016,254.9781015124331
short_gate_24h_g12_tp15_case3_w62_32_6,short_gate_24h_g12_tp15_case3,0.62,0.32,0.06,51806.31487583229,2490.3157437916148,120.5670551200245,47.247678097055804,2.55180910419252,9016,246.6870784384384
short_gate_24h_g12_tp15_case3_w61_33_6,short_gate_24h_g12_tp15_case3,0.61,0.33,0.06,51937.90022950004,2496.895011475002,120.70309805954645,47.35412956237912,2.5489455550132214,9016,248.9636726099467
short_gate_24h_g12_tp15_case3_w60_34_6,short_gate_24h_g12_tp15_case3,0.6,0.34,0.06,52056.55909553513,2502.8279547767565,120.82555309043315,47.4610083385143,2.5457856316209786,9016,250.97787898592105
short_gate_24h_g12_tp15_case3_w59_35_6,short_gate_24h_g12_tp15_case3,0.59,0.35000000000000003,0.06,52162.193086014246,2508.1096543007125,120.93438891234922,47.56831169941326,2.542330904584972,9016,252.73241744129487
short_gate_24h_g12_tp10_case3_w62_31_7,short_gate_24h_g12_tp10_case3,0.62,0.31,0.07,50390.737124457824,2419.536856222891,119.08672057066494,46.90321543244218,2.5389884141779886,9016,243.0002655263556
short_gate_24h_g12_tp10_case3_w61_32_7,short_gate_24h_g12_tp10_case3,0.61,0.32,0.07,50532.94615994511,2426.6473079972557,119.23684686451068,47.00936066131739,2.5364490217929543,9016,245.47070753082173
short_gate_24h_g12_tp10_case3_w60_33_7,short_gate_24h_g12_tp10_case3,0.6,0.33,0.07,50662.65551970556,2433.132775985278,119.37349897580374,47.11593780424589,2.53361186339469,9016,247.6833472915866
short_gate_24h_g12_tp10_case3_w59_34_7,short_gate_24h_g12_tp10_case3,0.59,0.34,0.07,50779.76415362339,2438.9882076811696,119.4966486052318,47.22294413480631,2.5304785797367337,9016,249.63834289217212
short_gate_24h_g12_tp15_case3_w62_33_5,short_gate_24h_g12_tp15_case3,0.62,0.33,0.05,51678.01437073841,2483.9007185369205,120.43415623395637,47.77938520075378,2.520630094504782,9016,244.7286516951069
short_gate_24h_g12_tp15_case3_w61_34_5,short_gate_24h_g12_tp15_case3,0.61,0.34,0.05,51798.09722326428,2489.904861163214,120.55855041283957,47.88575081206222,2.5176289056424563,9016,246.83158112328246
short_gate_24h_g12_tp15_case3_w60_35_5,short_gate_24h_g12_tp15_case3,0.6,0.35000000000000003,0.05,51905.23195866624,2495.2615979333123,120.66934748496632,47.992537642737446,2.5143356324111115,9016,248.6735138481159
short_gate_24h_g12_tp10_case3_w62_32_6,short_gate_24h_g12_tp10_case3,0.62,0.32,0.06,50497.60610572147,2424.8803052860735,119.1995692002838,47.409417100365204,2.514259328435523,9016,242.08978137244677
short_gate_24h_g12_tp10_case3_w61_33_6,short_gate_24h_g12_tp10_case3,0.61,0.33,0.06,50628.72512772835,2431.4362563864174,119.33777804465274,47.51553840313893,2.5115526847690974,9016,244.38591389852104
short_gate_24h_g12_tp15_case3_w59_36_5,short_gate_24h_g12_tp15_case3,0.59,0.36000000000000004,0.05,51999.33154580887,2499.9665772904436,120.76652110859519,48.099742977024874,2.510751900821591,9016,250.25595816233616
short_gate_24h_g12_tp10_case3_w60_34_6,short_gate_24h_g12_tp10_case3,0.6,0.34,0.06,50747.25935446925,2437.3629677234626,119.46248863273543,47.622085688030445,2.5085522170391137,9016,246.42350011602767
short_gate_24h_g12_tp10_case3_w59_35_6,short_gate_24h_g12_tp10_case3,0.59,0.35000000000000003,0.06,50853.11076163952,2442.6555380819755,119.57366932011593,47.72905623765668,2.505259452957215,9016,248.20517960940452
short_gate_24h_g12_tp10_case3_w62_33_5,short_gate_24h_g12_tp10_case3,0.62,0.33,0.05,50588.854759719005,2429.4427379859503,119.29578051518828,47.91288992973699,2.489847318542723,9016,240.93559338039378
short_gate_24h_g12_tp10_case3_w61_34_5,short_gate_24h_g12_tp10_case3,0.61,0.34,0.05,50708.791515126155,2435.439575756308,119.42204057206878,48.0189805527697,2.4869757582802454,9016,243.05789046760208
short_gate_24h_g12_tp10_case3_w60_35_5,short_gate_24h_g12_tp10_case3,0.6,0.35000000000000003,0.05,50816.064564616856,2440.803228230843,119.53477790793107,48.12549129718294,2.483814184249754,9016,244.92238651137046
short_gate_24h_g12_tp10_case3_w59_36_5,short_gate_24h_g12_tp10_case3,0.59,0.36000000000000004,0.05,50910.5869327234,2445.5293466361704,119.63396586770503,48.232419454453215,2.480364187010723,9016,246.53053633709314
baseline_70_case12_only,none,0.74,0.26,0.0,49072.0172815264,2353.60086407632,117.67907862146379,49.1509482774405,2.3942382140260072,9016,196.1379618219914
