variant,timestamp,topup_amount,equity_before_topup,equity_after_topup,cap1_after_topup,cap2_after_topup,cap3_after_topup,cumulative_contribution
monthly_topup_1000,2022-02-01,1000.0,2158.694672554306,3158.694672554306,1957.495123484939,980.192035127519,221.00751394184798,3000.0
monthly_topup_1000,2022-03-01,1000.0,3351.351930181323,4351.351930181323,2833.6153971393724,1209.8983072897254,307.83822575222587,4000.0
monthly_topup_1000,2022-04-01,1000.0,3460.3222851599294,4460.322285159929,2765.0732489903808,1382.5366244951913,312.71241167435676,5000.0
monthly_topup_1000,2022-05-01,1000.0,5252.692754301664,6252.692754301664,3904.21343689358,1907.395111478155,441.08420592992826,6000.0
monthly_topup_1000,2022-06-01,1000.0,7838.151793751356,8838.151793751356,5491.753972334721,2723.8031419299814,622.5946794866553,7000.0
monthly_topup_1000,2022-07-01,1000.0,13340.481820170142,14340.481820170142,8954.01496513033,4355.477872643267,1030.9889823965443,8000.0
monthly_topup_1000,2022-08-01,1000.0,13956.366903709548,14956.366903709548,9288.525138799709,4644.262569399846,1023.5791955099937,9000.0
monthly_topup_1000,2022-09-01,1000.0,14854.153915485107,15854.153915485107,9762.692728143486,4989.2216857770345,1102.2395015645873,10000.0
monthly_topup_1000,2022-10-01,1000.0,16409.686802331566,17409.686802331566,10794.00581744557,5397.002908722785,1218.6780761632097,11000.0
monthly_topup_1000,2022-11-01,1000.0,16187.398438017412,17187.39843801741,10657.250848377073,5329.474342673235,1200.6732469671047,12000.0
monthly_topup_1000,2022-12-01,1000.0,17291.252055728193,18291.252055728193,11378.028660174594,5628.6072565016275,1284.6161390519705,13000.0
monthly_topup_1000,2023-01-01,1000.0,17053.661311930984,18053.661311930984,11178.141300200448,5609.803284479704,1265.7167272508286,14000.0
monthly_topup_1000,2023-02-01,1000.0,33831.358545565716,34831.358545565716,21596.2707856147,10798.135392807335,2436.952367143686,15000.0
monthly_topup_1000,2023-03-01,1000.0,27508.706184689072,28508.706184689072,17671.255452244954,8835.627726122471,2001.8230063216474,16000.0
monthly_topup_1000,2023-04-01,1000.0,37174.9981876845,38174.9981876845,23670.281341093927,11835.14067054699,2669.5761760435785,17000.0
monthly_topup_1000,2023-05-01,1000.0,35896.30963728785,36896.30963728785,22873.42817441441,11436.714087207196,2586.167375666245,18000.0
monthly_topup_1000,2023-06-01,1000.0,34303.67613660212,35303.67613660212,21917.33509380711,10911.803209623238,2474.5378331717707,19000.0
monthly_topup_1000,2023-07-01,1000.0,43817.96474802496,44817.96474802496,27780.360640154835,13890.180320077394,3147.4237877927303,20000.0
monthly_topup_1000,2023-08-01,1000.0,39892.727672173896,40892.727672173896,25392.05749357587,12643.591930351464,2857.0782482465625,21000.0
monthly_topup_1000,2023-09-01,1000.0,36900.94428363537,37900.94428363537,23477.226486916716,11738.613243458372,2685.1045532602766,22000.0
monthly_topup_1000,2023-10-01,1000.0,34263.58066029346,35263.58066029346,21849.579397819263,10941.09014529082,2472.9111171833797,23000.0
monthly_topup_1000,2023-11-01,1000.0,54226.848239448525,55226.848239448525,34246.60772762738,17123.30386381367,3856.936648007472,24000.0
monthly_topup_1000,2023-12-01,1000.0,61414.13220529917,62414.13220529917,38696.45165084242,19348.225825421192,4369.454729035552,25000.0
monthly_topup_1000,2024-01-01,1000.0,82888.54307778961,83888.54307778961,52047.96121148403,26023.98060574201,5816.601260563571,26000.0
monthly_topup_1000,2024-02-01,1000.0,80423.16477569593,81423.16477569593,49948.99066818318,25765.664014524227,5708.5100929885275,27000.0
monthly_topup_1000,2024-03-01,1000.0,143065.2214691893,144065.2214691893,89285.31059080058,44642.65529540026,10137.255582988457,28000.0
