variant,timestamp,topup_amount,topup_case1,topup_case2,topup_case3,equity_before_topup,equity_after_topup,cumulative_contribution,cap1_after_topup,cap2_after_topup,cap3_after_topup
current_run_topup_only,2022-02-01,1000.0,740.0,260.0,0.0,2104.2682965309577,3104.2682965309577,3000.0,,,
current_run_topup_only,2022-03-01,1000.0,740.0,260.0,0.0,3364.5540691875613,4364.554069187561,4000.0,,,
current_run_topup_only,2022-04-01,1000.0,740.0,260.0,0.0,3664.648388845131,4664.648388845131,5000.0,,,
current_run_topup_only,2022-05-01,1000.0,740.0,260.0,0.0,5679.29981778651,6679.29981778651,6000.0,,,
current_run_topup_only,2022-06-01,1000.0,740.0,260.0,0.0,8401.27268964816,9401.27268964816,7000.0,,,
current_run_topup_only,2022-07-01,1000.0,740.0,260.0,0.0,13889.990125423523,14889.990125423523,8000.0,,,
current_run_topup_only,2022-08-01,1000.0,740.0,260.0,0.0,14358.726874610678,15358.726874610678,9000.0,,,
current_run_topup_only,2022-09-01,1000.0,740.0,260.0,0.0,15103.114530431596,16103.114530431596,10000.0,,,
current_run_topup_only,2022-10-01,1000.0,740.0,260.0,0.0,16054.65551299142,17054.65551299142,11000.0,,,
current_run_topup_only,2022-11-01,1000.0,740.0,260.0,0.0,16004.73844853076,17004.73844853076,12000.0,,,
current_run_topup_only,2022-12-01,1000.0,740.0,260.0,0.0,16673.209098353953,17673.209098353953,13000.0,,,
current_run_topup_only,2023-01-01,1000.0,740.0,260.0,0.0,16401.57561398031,17401.57561398031,14000.0,,,
current_run_topup_only,2023-02-01,1000.0,740.0,260.0,0.0,33254.475537089165,34254.475537089165,15000.0,,,
current_run_topup_only,2023-03-01,1000.0,740.0,260.0,0.0,26982.293920954435,27982.293920954435,16000.0,,,
current_run_topup_only,2023-04-01,1000.0,740.0,260.0,0.0,35508.80703522349,36508.80703522349,17000.0,,,
current_run_topup_only,2023-05-01,1000.0,740.0,260.0,0.0,34400.50285498035,35400.50285498035,18000.0,,,
current_run_topup_only,2023-06-01,1000.0,740.0,260.0,0.0,32899.151989795675,33899.151989795675,19000.0,,,
current_run_topup_only,2023-07-01,1000.0,740.0,260.0,0.0,41666.92919706913,42666.92919706913,20000.0,,,
current_run_topup_only,2023-08-01,1000.0,740.0,260.0,0.0,37804.60699581787,38804.60699581787,21000.0,,,
current_run_topup_only,2023-09-01,1000.0,740.0,260.0,0.0,34885.75580785505,35885.75580785505,22000.0,,,
current_run_topup_only,2023-10-01,1000.0,740.0,260.0,0.0,32239.757533444405,33239.757533444405,23000.0,,,
current_run_topup_only,2023-11-01,1000.0,740.0,260.0,0.0,52882.64074669805,53882.64074669805,24000.0,,,
current_run_topup_only,2023-12-01,1000.0,740.0,260.0,0.0,59755.333491363715,60755.333491363715,25000.0,,,
current_run_topup_only,2024-01-01,1000.0,740.0,260.0,0.0,81297.29104461984,82297.29104461984,26000.0,,,
current_run_topup_only,2024-02-01,1000.0,740.0,260.0,0.0,76774.36631673995,77774.36631673995,27000.0,,,
current_run_topup_only,2024-03-01,1000.0,740.0,260.0,0.0,136538.15115055843,137538.15115055843,28000.0,,,
