entry_time,exit_time,side,avg_entry,exit_price,quantity,num_entries,pnl,reason
2026-01-20 08:00:00,2026-02-12 00:00:00,SHORT,91098.7,67031.2,8.931300981510038,1,214389.16408006242,Final Hedge Close
2025-10-29 16:00:00,2026-01-03 04:00:00,SHORT,111352.3,90311.8,4.432744467124509,1,92909.58979113618,Hedge Close Trend Up
2025-02-04 08:00:00,2025-03-24 12:00:00,SHORT,98301.0,87532.3,4.866687325277485,1,52046.13877342584,Hedge Close Trend Up
2024-06-13 04:00:00,2024-07-15 04:00:00,SHORT,67475.7,62635.9,5.236327986121204,1,25070.257382269778,Hedge Close Trend Up
2024-08-02 08:00:00,2024-08-21 20:00:00,SHORT,64172.9,61610.1,6.8232654300078455,1,17143.364325791055,Hedge Close Trend Up
2024-12-17 15:11:00,2025-01-17 15:05:00,LONG,102373.16799999999,103764.2,9.485961673357776,5,12090.161855243481,Take Profit
2024-12-16 18:50:00,2024-12-17 14:48:00,LONG,106585.09999999999,107906.8,9.084023423928699,5,11226.973981869478,Take Profit
2024-12-05 15:20:00,2024-12-06 17:44:00,LONG,99400.56000000001,100722.2,8.937200843900017,5,10804.632678108343,Take Profit
2024-12-16 02:17:00,2024-12-16 14:46:00,LONG,104332.12,105590.2,8.896721126252789,5,10445.738778829724,Take Profit
2024-12-12 16:30:00,2024-12-14 01:03:00,LONG,100675.12,101961.1,8.395582430084497,5,10116.051458107855,Take Profit
